dataset,test_length,hard_alert_count,hard_tp,hard_fp,hard_fn,hard_precision,hard_recall,hard_f1,standard_review_count,standard_review_tp,standard_review_fp,priority_review_count,priority_review_tp,priority_review_fp,combined_f1
ACSF1_normal_0,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
ACSF1_normal_1,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
ACSF1_normal_2,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
ACSF1_normal_3,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
ACSF1_normal_4,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
ACSF1_normal_5,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
ACSF1_normal_6,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
ACSF1_normal_7,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
ACSF1_normal_8,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
ACSF1_normal_9,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_1,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_10,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_11,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_12,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_13,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_14,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
Adiac_normal_15,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_16,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_17,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_18,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
Adiac_normal_19,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
Adiac_normal_2,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_20,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_21,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_22,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
Adiac_normal_23,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_24,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_25,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_26,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
Adiac_normal_27,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_28,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_29,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_3,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_30,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_31,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_32,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_33,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_34,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_35,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_36,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_37,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_4,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_5,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
Adiac_normal_6,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Adiac_normal_7,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_8,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Adiac_normal_9,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
AllGestureWiimoteX_normal_1,100,0,0,0,2,0.0,0.0,0.0,1,1,0,0,0,0,0.6666666666666666
AllGestureWiimoteX_normal_10,100,0,0,0,2,0.0,0.0,0.0,1,0,1,0,0,0,0.0
AllGestureWiimoteX_normal_2,100,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,0,0.6666666666666666
AllGestureWiimoteX_normal_3,100,2,2,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
AllGestureWiimoteX_normal_4,100,0,0,0,2,0.0,0.0,0.0,1,1,0,0,0,0,0.6666666666666666
AllGestureWiimoteX_normal_5,100,0,0,0,2,0.0,0.0,0.0,1,0,1,0,0,0,0.0
AllGestureWiimoteX_normal_6,100,0,0,0,2,0.0,0.0,0.0,1,0,1,0,0,0,0.0
AllGestureWiimoteX_normal_7,100,0,0,0,2,0.0,0.0,0.0,1,1,0,0,0,0,0.6666666666666666
AllGestureWiimoteX_normal_8,100,2,1,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0.5
AllGestureWiimoteX_normal_9,100,1,1,0,1,1.0,0.5,0.6666666666666666,1,0,1,0,0,0,0.5
AllGestureWiimoteY_normal_1,100,2,1,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0.5
AllGestureWiimoteY_normal_10,100,2,1,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0.5
AllGestureWiimoteY_normal_2,100,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,0,0.6666666666666666
AllGestureWiimoteY_normal_3,100,0,0,0,2,0.0,0.0,0.0,2,0,2,0,0,0,0.0
AllGestureWiimoteY_normal_4,100,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,0,0.6666666666666666
AllGestureWiimoteY_normal_5,100,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,0,0.6666666666666666
AllGestureWiimoteY_normal_6,100,1,0,1,2,0.0,0.0,0.0,0,0,0,0,0,0,0.0
AllGestureWiimoteY_normal_7,100,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,0,0.6666666666666666
AllGestureWiimoteY_normal_8,100,2,2,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
AllGestureWiimoteY_normal_9,100,1,1,0,1,1.0,0.5,0.6666666666666666,1,1,0,0,0,0,1.0
AllGestureWiimoteZ_normal_1,100,0,0,0,2,0.0,0.0,0.0,1,0,1,0,0,0,0.0
AllGestureWiimoteZ_normal_10,100,1,1,0,1,1.0,0.5,0.6666666666666666,1,0,1,0,0,0,0.5
