time_index,normal_p05,normal_p50,normal_p95,normal_reference_00,normal_reference_01,normal_reference_02,normal_reference_03,normal_reference_04,normal_reference_05,normal_reference_06,normal_reference_07,normal_reference_08,normal_reference_09,normal_reference_10,normal_reference_11,normal_reference_12,normal_reference_13,normal_reference_14,normal_reference_15
0,-0.9111078,-0.69438857,0.29989573,0.885638,-0.6900939,-0.74456227,-0.65002334,-0.88049203,-0.66486293,-0.6833766,-0.7291643,0.10464832,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.8810963,-0.9167318
1,-0.9111078,-0.6867353,0.19044298,0.49951804,-0.6900939,0.08741795,-0.65002334,-0.88049203,-0.608154,-0.6833766,-0.7291643,-0.12715083,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.77448994,-0.9167318
2,1.4333155,1.6564655,1.7167702,1.3280854,1.649865,1.6781532,1.7111461,1.609209,1.6946963,1.7137392,1.6543343,1.5880258,1.6841167,1.6585966,1.5293518,1.7258635,1.7108986,1.4683921,1.5280892
3,-0.9365418,-0.71083456,-0.61212504,-0.94878256,-0.6900939,-0.62856585,-0.65002334,-0.88049203,-0.6261747,-0.6833766,-0.7291643,-0.9324615,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.781224,-0.9167318
4,-0.9111078,-0.69438857,0.29859155,0.8697623,-0.6900939,-0.7434948,-0.65002334,-0.88049203,-0.66486293,-0.6833766,-0.7291643,0.10820128,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.8821163,-0.9167318
5,-0.9111078,-0.6867353,0.19071521,0.4942329,-0.6900939,0.08954265,-0.65002334,-0.88049203,-0.608154,-0.6833766,-0.7291643,-0.12832753,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.77448994,-0.9167318
6,1.4317816,1.6604031,1.7178905,1.3193954,1.6518164,1.6768394,1.712099,1.6158578,1.6949238,1.7150536,1.6559783,1.590859,1.6894288,1.664828,1.5275775,1.7264014,1.7111566,1.4692438,1.5296924
7,-0.93653834,-0.71083456,-0.61212504,-0.9488029,-0.6900939,-0.62856585,-0.65002334,-0.88049203,-0.6261747,-0.6833766,-0.7291643,-0.9324501,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.781224,-0.9167318
8,-0.9111078,-0.69438857,0.29396763,0.8761146,-0.6900939,-0.74456227,-0.65002334,-0.88049203,-0.66486293,-0.6833766,-0.7291643,0.099918656,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.8821163,-0.9167318
9,-0.9111078,-0.6867353,0.19337375,0.49211884,-0.6900939,0.09379206,-0.65002334,-0.88049203,-0.608154,-0.6833766,-0.7291643,-0.13188049,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.77448994,-0.9167318
10,1.4348788,1.6592414,1.7159579,1.3236438,1.6534905,1.6931903,1.712758,1.6018362,1.6977359,1.7115449,1.655948,1.5825421,1.6871887,1.662535,1.530012,1.7241099,1.7132406,1.4719572,1.5244693
11,-0.9365529,-0.71083456,-0.61212504,-0.9487927,-0.6900939,-0.62855554,-0.65002334,-0.88049203,-0.6261747,-0.6833766,-0.7291643,-0.93247294,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.781224,-0.9167318
12,-0.9111078,-0.69438857,0.29618,0.88139975,-0.6900939,-0.74456227,-0.65002334,-0.88049203,-0.66486293,-0.6833766,-0.7291643,0.10110678,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.8821163,-0.9167318
13,-0.9111078,-0.6867353,0.19231674,0.48789075,-0.6900939,0.09379206,-0.65002334,-0.88049203,-0.608154,-0.6833766,-0.7291643,-0.1330572,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.77448994,-0.9167318
14,1.4363196,1.6565207,1.7167516,1.326317,1.655122,1.6933237,1.7089462,1.6087189,1.6991833,1.7131802,1.6561497,1.5837531,1.6845754,1.6568917,1.528836,1.723801,1.7144017,1.472987,1.5170019
15,-0.9365504,-0.71083456,-0.61212504,-0.94878256,-0.6900939,-0.62855554,-0.65002334,-0.88049203,-0.6261747,-0.6833766,-0.7291643,-0.93247294,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.781224,-0.9167318
16,-0.9111078,-0.69438857,0.30514646,0.87822866,-0.6900939,-0.7456195,-0.65002334,-0.88049203,-0.66486293,-0.6833766,-0.7291643,0.11411907,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.8810963,-0.9167318
17,-0.9111078,-0.6867353,0.18621233,0.48259544,-0.6900939,0.08741795,-0.65002334,-0.88049203,-0.608154,-0.6833766,-0.7291643,-0.13188049,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.77448994,-0.9167318
18,1.4318302,1.658082,1.7173278,1.3242537,1.6500996,1.6882325,1.7065842,1.6065361,1.6942,1.7141014,1.6545864,1.5984333,1.6860901,1.6615777,1.5281138,1.7221171,1.7157314,1.467689,1.5195771
19,-0.93654937,-0.71083456,-0.61212504,-0.948813,-0.6900939,-0.6285761,-0.65002334,-0.88049203,-0.6261747,-0.6833766,-0.7291643,-0.9324615,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.781224,-0.9167318
20,-0.9111078,-0.69438857,0.30692008,0.87822866,-0.6900939,-0.74456227,-0.65002334,-0.88049203,-0.66486293,-0.6833766,-0.7291643,0.1164839,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.8821163,-0.9167318
21,-0.9111078,-0.6867353,0.18435454,0.48153841,-0.6900939,0.08529325,-0.65002334,-0.88049203,-0.608154,-0.6833766,-0.7291643,-0.1330572,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.77448994,-0.9167318
22,1.4341123,1.6575911,1.7173519,1.3245586,1.6534052,1.6689667,1.7083684,1.6042641,1.6965365,1.7072496,1.6531239,1.6000556,1.6833913,1.6617771,1.5258445,1.7237611,1.7152154,1.4706302,1.5143025
23,-0.93654937,-0.71083456,-0.61212504,-0.948813,-0.6900939,-0.62856585,-0.65002334,-0.88049203,-0.6261747,-0.6833766,-0.7291643,-0.9324615,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.781224,-0.9167318
24,-0.9111078,-0.69438857,0.30735028,0.8835138,-0.6900939,-0.7413701,-0.65002334,-0.88049203,-0.66486293,-0.6833766,-0.7291643,0.11529577,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.8810963,-0.9167318
25,-0.9111078,-0.6867353,0.18939953,0.47942436,-0.6900939,0.09272458,-0.65002334,-0.88049203,-0.608154,-0.6833766,-0.7291643,-0.1330572,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.77448994,-0.9167318
26,1.4309831,1.6591268,1.7168701,1.3272824,1.6531813,1.661176,1.7098992,1.5996422,1.6913878,1.709951,1.6570777,1.5991074,1.6814713,1.6622458,1.5264943,1.7257638,1.7139055,1.46555,1.5140542
27,-0.93654686,-0.71083456,-0.61212504,-0.9488029,-0.6900939,-0.6285248,-0.65002334,-0.88049203,-0.6261747,-0.6833766,-0.7291643,-0.9324615,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.781224,-0.9167318
28,-0.9111078,-0.69438857,0.2982179,0.8824568,-0.6900939,-0.74243754,-0.65002334,-0.88049203,-0.66486293,-0.6833766,-0.7291643,0.10347161,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.8810963,-0.9167318
29,-0.9111078,-0.6867353,0.18754958,0.47519624,-0.6900939,0.091667354,-0.65002334,-0.88049203,-0.608154,-0.6833766,-0.7291643,-0.13188049,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.77448994,-0.9167318
30,1.4288371,1.6609635,1.7171302,1.3269572,1.6500249,1.6659079,1.7110043,1.6047987,1.6888548,1.7125592,1.6589437,1.5864035,1.6886501,1.6629835,1.5262158,1.7253753,1.7143818,1.4627969,1.5175294
31,-0.93655795,-0.71083456,-0.61212504,-0.948813,-0.6900939,-0.62853503,-0.65002334,-0.88049203,-0.6261747,-0.6833766,-0.7291643,-0.93247294,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.781224,-0.9167318
32,-0.9111078,-0.69438857,0.29610384,0.87400055,-0.6900939,-0.7413701,-0.65002334,-0.88049203,-0.66486293,-0.6833766,-0.7291643,0.10347161,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.8810963,-0.9167318
33,-0.9111078,-0.6867353,0.18277444,0.4688439,-0.6900939,0.08741795,-0.65002334,-0.88049203,-0.608154,-0.6833766,-0.7291643,-0.12832753,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.77448994,-0.9167318
34,1.4253335,1.6576908,1.7162654,1.3230747,1.6318758,1.6595747,1.7097775,1.6076943,1.684864,1.7092264,1.6558068,1.5874317,1.682058,1.6623654,1.5242867,1.7265011,1.7128536,1.4594198,1.5167537
35,-0.93656206,-0.71083456,-0.61212504,-0.94886386,-0.6900939,-0.6285453,-0.65002334,-0.88049203,-0.6261747,-0.6833766,-0.7291643,-0.9324615,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.781224,-0.9167318
36,-0.9111078,-0.69438857,0.29927745,0.886695,-0.6900939,-0.7434948,-0.65002334,-0.88049203,-0.66379803,-0.6833766,-0.7291643,0.10347161,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.8769964,-0.9167318
37,-0.9111078,-0.6867353,0.17905888,0.46672985,-0.6900939,0.083168544,-0.65002334,-0.88049203,-0.6092189,-0.6833766,-0.7291643,-0.13778687,-0.72298586,-0.69868326,-0.9092331,-0.6078979,-0.6135341,-0.77448994,-0.9167318
