time_index,normal_p05,normal_p50,normal_p95,normal_reference_00,normal_reference_01,normal_reference_02,normal_reference_03,normal_reference_04,normal_reference_05,normal_reference_06,normal_reference_07,normal_reference_08,normal_reference_09,normal_reference_10,normal_reference_11,normal_reference_12,normal_reference_13,normal_reference_14,normal_reference_15,normal_reference_16,normal_reference_17,normal_reference_18,normal_reference_19
0,-0.24004926,0.045690916,0.9556124,-0.0867739,-0.027712066,0.95283777,0.12974697,0.11275862,0.064873084,-0.16341342,0.0030671319,-0.041631177,0.31611863,-0.07138869,0.2709311,-0.041456334,0.23879738,0.95409554,-0.2073186,-0.098588,0.1440089,-0.19489694,0.10221822
1,-0.28088948,0.006536318,0.36146033,-0.0726632,-0.035756547,-0.06585672,0.168492,0.10462972,0.060360175,-0.18098892,0.019110588,-0.07548373,0.30826762,-0.0838733,0.22825488,-0.049960196,0.20802131,-0.09280317,-0.19938743,-0.06944024,0.13279815,-0.14956173,0.09112793
2,-0.27185428,0.0076055545,0.35488346,-0.11029174,-0.06391224,-0.07815705,0.168492,0.11275862,0.024256893,-0.20295832,0.027132317,-0.07548373,0.31611863,-0.10468098,0.18557869,-0.09247951,0.22340935,-0.08448529,-0.23507771,-0.14959657,0.11037661,-0.22512043,0.085582785
3,-0.2851529,-0.007119001,0.37699842,-0.12910601,-0.047823276,-0.08635728,0.057791945,0.096500814,0.024256893,-0.22053382,0.007077996,-0.058557454,0.3789267,-0.054742552,0.1429025,-0.09247951,0.14646918,-0.08864423,-0.2073186,-0.21517903,0.10477123,-0.1571176,0.063402206
4,-0.29850703,-0.020756204,0.3375431,-0.15262385,-0.051845517,-0.10685785,0.11314197,0.07211411,0.033282712,-0.21174607,0.0030671319,-0.09241001,0.31611863,-0.067227155,0.20264918,-0.07547179,0.24649139,-0.11775682,-0.22714654,-0.13502268,0.12158738,-0.1797852,0.085582785
5,-0.2842722,-0.030595303,0.33824188,-0.15262385,-0.088045694,-0.05765649,0.07993195,0.035534058,0.0062052496,-0.2600787,-0.012976325,-0.10933629,0.31611863,-0.079711765,0.12583202,-0.10098337,0.21571533,-0.11359788,-0.2390433,-0.047579423,0.06553353,-0.16467348,0.04122163
6,-0.28896272,-0.037231945,0.32990715,-0.11499531,-0.07597897,-0.09455751,0.07993195,0.06804966,0.0062052496,-0.24689709,-0.033030648,-0.19396769,0.23760852,-0.10051944,0.0788882,-0.1179911,0.20802131,-0.11775682,-0.25490564,-0.13502268,0.026295846,-0.21000868,0.063402206
7,-0.28800085,-0.043260437,0.31205043,-0.17143811,-0.07597897,-0.09455751,0.06886195,0.023340706,0.0062052496,-0.28204808,-0.0049545965,-0.12626256,0.3004166,-0.12132712,0.13009964,-0.09673145,0.2003273,-0.13439259,-0.25887123,-0.08401412,0.06553353,-0.28556734,0.052311916
8,-0.30543488,-0.05082398,0.3055718,-0.162031,-0.071956724,-0.1232583,0.08546696,0.019276256,0.0016923398,-0.2952297,-0.03704151,-0.16011512,0.27686357,-0.09219637,0.087423444,-0.12649496,0.13877515,-0.15102835,-0.31042388,-0.13502268,0.03190123,-0.21000868,0.019041048
9,-0.30957383,-0.051397946,0.30604503,-0.19495596,-0.06793448,-0.10685785,0.08546696,0.011147354,-0.0073334808,-0.28204808,-0.033030648,-0.16857827,0.25331053,-0.12132712,0.053282484,-0.10948724,0.20802131,-0.1468694,-0.28663036,-0.07672718,0.020690462,-0.25534388,0.030131338
10,-0.3048845,-0.062444866,0.29343057,-0.15262385,-0.08402345,-0.11505807,0.07439695,-0.005110449,-0.025385123,-0.28204808,-0.049074102,-0.21089396,0.28471458,-0.10051944,0.049014866,-0.13499881,0.13877515,-0.12191576,-0.32628623,-0.14230964,0.043112,-0.21000868,0.030131338
11,-0.30630687,-0.06906509,0.29671195,-0.15262385,-0.07597897,-0.13555863,0.046721935,0.0030184516,-0.043436762,-0.26886645,-0.049074102,-0.19396769,0.26901257,-0.10468098,0.040479627,-0.13499881,0.18493927,-0.13439259,-0.3461142,-0.06944024,0.020690462,-0.27045563,0.024586193
12,-0.29847005,-0.065779835,0.28071788,-0.15262385,-0.10413466,-0.11915819,0.0024419145,-0.005110449,-0.052462585,-0.29083583,-0.012976325,-0.16857827,0.25331053,-0.10884251,0.0020710505,-0.14775462,0.17724524,-0.1468694,-0.32628623,-0.10587493,0.09916584,-0.25534388,0.024586193
13,-0.31290826,-0.07753405,0.2622962,-0.162031,-0.12022363,-0.11095796,0.057791945,-0.013239351,-0.025385123,-0.29962358,-0.029019782,-0.1770414,0.19835347,-0.11716559,-0.0064641894,-0.186022,0.14646918,-0.14271046,-0.32628623,-0.10587493,0.08234969,-0.24023215,0.024586193
14,-0.31936315,-0.083613165,0.26055092,-0.1902524,-0.08402345,-0.13965875,0.035651933,-0.041690506,-0.052462585,-0.30841133,-0.041052375,-0.2447465,0.16694942,-0.14629634,0.01487391,-0.1435027,0.14646918,-0.16766413,-0.31835505,-0.12773575,0.03190123,-0.24023215,-0.04750069
15,-0.3046096,-0.08454786,0.27356622,-0.17143811,-0.10413466,-0.13965875,-0.052908115,-0.037626054,-0.034410942,-0.3171991,-0.041052375,-0.21089396,0.16694942,-0.10884251,-0.09181658,-0.19452587,0.084917046,-0.13855153,-0.3421486,-0.11316188,0.054322764,-0.25534388,-0.0364104
16,-0.31087604,-0.08366112,0.24228272,-0.1761417,-0.092067935,-0.16425943,0.0024419145,0.011147354,-0.043436762,-0.29083583,-0.049074102,-0.1770414,0.24545953,-0.13797326,-0.0064641894,-0.17751814,0.1541632,-0.1551873,-0.3421486,-0.16417044,0.03190123,-0.20245282,-0.025320109
