time_index,normal_p05,normal_p50,normal_p95,normal_reference_00,normal_reference_01,normal_reference_02,normal_reference_03,normal_reference_04,normal_reference_05,normal_reference_06,normal_reference_07,normal_reference_08,normal_reference_09,normal_reference_10,normal_reference_11,normal_reference_12,normal_reference_13,normal_reference_14,normal_reference_15
0,-1.3183532,-0.59773976,-0.58292353,-0.5808238,-0.97290194,-1.3068457,-0.59599966,-0.58779263,-0.6053164,-0.5851456,-0.5836234,-0.6095726,-0.5920017,-0.61769074,-0.6287319,-0.5920233,-0.590803,-0.59947985,-1.352876
1,-1.3183532,-0.5920125,-0.06811479,-0.5808238,1.2193232,-1.3068457,-0.59599966,-0.58779263,-0.6053164,-0.5851456,-0.5836234,-0.6095726,-0.5920017,-0.61769074,-0.49726078,-0.5920233,-0.590803,-0.59947985,-1.352876
2,1.120964,1.7260911,1.7475964,1.7214358,0.7773945,1.4297018,1.7502512,1.7292624,1.7467115,1.7267154,1.731165,1.7239525,1.7254667,1.7339779,1.7219884,1.7309664,1.7204455,1.7272992,1.2354872
3,-1.3183532,-0.5940115,-0.58292353,-0.5808238,-1.0029646,-1.3068457,-0.59599966,-0.58779263,-0.6053164,-0.5851456,-0.5836234,-0.6095726,-0.5920017,-0.61769074,-0.5848335,-0.5920233,-0.590803,-0.59947985,-1.352876
4,-1.3183532,-0.5940115,-0.58292353,-0.5808238,-0.97290194,-1.3068457,-0.59599966,-0.58779263,-0.6053164,-0.5851456,-0.5836234,-0.6095726,-0.5920017,-0.61769074,-0.5852614,-0.5920233,-0.590803,-0.59947985,-1.352876
5,-1.3183532,-0.5920125,-0.13098955,-0.5808238,1.2185131,-1.3068457,-0.59599966,-0.58779263,-0.6053164,-0.5851456,-0.5836234,-0.6095726,-0.5920017,-0.61769074,-0.5852614,-0.5920233,-0.590803,-0.59947985,-1.352876
6,1.1247789,1.7269444,1.7399817,1.7311466,0.77685976,1.4331073,1.7409647,1.7270885,1.7396541,1.7279325,1.7309098,1.7268006,1.711444,1.7369595,1.7206334,1.7290065,1.7207758,1.7092323,1.2407519
7,-1.3183532,-0.5940115,-0.58292353,-0.5808238,-1.0029725,-1.3068457,-0.59599966,-0.58779263,-0.6053164,-0.5851456,-0.5836234,-0.6095726,-0.5920017,-0.61769074,-0.5852614,-0.5920233,-0.590803,-0.59947985,-1.352876
8,-1.3183532,-0.5940115,-0.58292353,-0.5808238,-0.97290194,-1.3068457,-0.59599966,-0.58779263,-0.6053164,-0.5851456,-0.5836234,-0.6095726,-0.5920017,-0.61769074,-0.5852614,-0.5920233,-0.590803,-0.59947985,-1.352876
9,-1.3183532,-0.5920125,-0.1297687,-0.5808238,1.2233965,-1.3068457,-0.59599966,-0.58779263,-0.6053164,-0.5851456,-0.5836234,-0.6095726,-0.5920017,-0.61769074,-0.5852614,-0.5920233,-0.590803,-0.59947985,-1.352876
