time_index,normal_p05,normal_p50,normal_p95,normal_reference_00,normal_reference_01,normal_reference_02,normal_reference_03,normal_reference_04,normal_reference_05,normal_reference_06,normal_reference_07,normal_reference_08,normal_reference_09,normal_reference_10,normal_reference_11,normal_reference_12,normal_reference_13,normal_reference_14,normal_reference_15,normal_reference_16,normal_reference_17,normal_reference_18,normal_reference_19
0,-1.220726,-0.33468828,1.6334571,-0.22748308,-0.3744468,1.4447234,-0.34511265,-0.92666346,-0.63731205,0.10415013,-0.28858656,-0.32623157,2.1312156,-1.3710403,0.45466495,1.3516853,-0.25184777,-0.33434474,-0.30861345,0.93989086,2.21311,0.64178205,-0.3169338
1,-1.1736273,-0.32716933,1.9579352,-0.22748308,-0.3744468,-0.69121265,-0.34511265,-0.92666346,-0.63731205,-0.25293604,-0.28858656,-0.32623157,2.1312156,-1.3710403,0.7880242,1.614237,3.965138,-0.48995444,-0.30861345,0.93989086,2.21311,0.64178205,-0.3169338
2,-1.128603,-0.35175833,1.7669052,0.08568674,-0.3744468,-0.69121265,-0.34511265,-1.0142107,-0.63731205,0.10415013,-0.28858656,-0.32623157,2.1312156,-1.1633506,0.7880242,1.614237,-0.25184777,-0.48995444,-0.30861345,0.93989086,2.21311,0.64178205,-0.3169338
3,-1.2381624,-0.34465846,1.6837969,-0.22748308,-0.3744468,1.4447234,-0.34511265,-0.92666346,-0.63731205,-0.25293604,-0.28858656,-0.32623157,2.1312156,-1.3710403,0.7880242,1.3516853,-0.25184777,-0.33434474,-0.30861345,1.3549725,2.21311,0.64178205,-0.4358459
4,-1.127366,-0.33131436,1.6159397,-0.22748308,-0.22696228,-0.69121265,-0.5701861,-1.0142107,-0.63731205,0.10415013,-0.28858656,-0.32623157,2.1312156,-1.3710403,0.45466495,1.8767886,-0.25184777,-0.48995444,-0.30861345,0.52480924,0.6447643,2.235172,-0.3169338
5,-1.1736273,-0.3163135,1.1578993,-0.22748308,-0.3744468,-0.69121265,-0.34511265,-0.92666346,-0.63731205,-0.25293604,-0.28858656,-0.32623157,1.6680477,-1.1633506,0.7880242,1.3516853,-0.25184777,-0.33434474,-0.30861345,0.93989086,0.6447643,0.64178205,-0.3169338
6,-1.2059087,-0.36706778,1.4494691,0.08568674,-0.3744468,-0.69121265,-0.34511265,-0.92666346,-0.63731205,0.10415013,-0.28858656,-0.32623157,2.1312156,-1.3710403,0.7880242,1.614237,-0.25184777,-0.48995444,-0.30861345,0.93989086,2.21311,0.64178205,-0.3169338
7,-1.2039496,-0.34271765,1.6126598,-0.22748308,-0.3744468,1.4447234,-0.34511265,-1.0142107,-0.63731205,-0.25293604,-0.28858656,-0.32623157,2.1312156,-1.3710403,0.7880242,1.614237,-0.25184777,-0.48995444,-0.30861345,0.93989086,-0.9235813,0.64178205,-0.3169338
8,-1.1792811,-0.36736327,1.3547978,-0.22748308,-0.3744468,-0.69121265,-0.5701861,-0.92666346,-0.63731205,0.10415013,-0.28858656,-0.32623157,2.1312156,-1.3710403,0.45466495,1.3516853,-0.25184777,-0.33434474,-0.30861345,0.93989086,0.6447643,0.64178205,-0.4358459
9,-1.2005649,-0.34816122,1.3884783,-0.22748308,-0.22696228,-0.69121265,-0.34511265,-1.0142107,-0.63731205,-0.25293604,-0.28858656,-0.32623157,2.1312156,-1.1633506,0.7880242,1.614237,-0.25184777,-0.48995444,-0.30861345,0.93989086,0.6447643,0.64178205,-0.3169338
