time_index,normal_p05,normal_p50,normal_p95,normal_reference_00,normal_reference_01,normal_reference_02,normal_reference_03,normal_reference_04,normal_reference_05,normal_reference_06,normal_reference_07,normal_reference_08,normal_reference_09,normal_reference_10,normal_reference_11,normal_reference_12,normal_reference_13,normal_reference_14,normal_reference_15,normal_reference_16
0,1.7127665,1.7500371,1.7976357,1.752426,1.7347121,1.7904736,1.7870553,1.7472377,1.7733452,1.7516359,1.7091144,1.7191197,1.7715799,1.7325295,1.7306848,1.7500371,1.7136796,1.7174295,1.7615176,1.8262842
1,1.6737812,1.7367684,1.8210084,1.7370615,1.6787236,1.8191402,1.7662807,1.6907789,1.7379186,1.7158746,1.7701348,1.6540115,1.7416103,1.7582961,1.7332678,1.6893429,1.7162833,1.7201326,1.7367684,1.8284816
2,1.6335108,1.6894742,1.7888651,1.6782829,1.6256473,1.7589947,1.7120049,1.6370884,1.7325363,1.6779485,1.7856749,1.6354767,1.6940877,1.7173084,1.6899256,1.6355358,1.6843488,1.6835126,1.6894742,1.8016255
3,1.5756509,1.6492473,1.7571052,1.6676371,1.5686733,1.7023143,1.6607361,1.5840503,1.6797874,1.6266301,1.7558057,1.5773953,1.6492473,1.6972518,1.6365778,1.6176707,1.6561,1.6305038,1.6195611,1.762303
4,1.5007839,1.5868083,1.6708881,1.6164731,1.4603446,1.6491163,1.6126734,1.5356177,1.6304017,1.5686295,1.7052234,1.5108937,1.5606259,1.6173112,1.5868083,1.5590605,1.6060808,1.5805407,1.5441173,1.6623043
5,1.4146243,1.5112884,1.5820343,1.5661228,1.3550943,1.5533124,1.523961,1.4387562,1.5406864,1.4600853,1.6456807,1.4295069,1.465141,1.5417818,1.4923712,1.4793475,1.5463201,1.5112884,1.4468441,1.5558268
6,1.3165467,1.3999844,1.4957726,1.4604526,1.2564019,1.4766127,1.4152323,1.3315829,1.4293963,1.3497057,1.5724125,1.3405387,1.3693122,1.4403265,1.3783365,1.376507,1.4315704,1.3999844,1.3728824,1.4476875
7,1.2142974,1.2878526,1.4106973,1.3515241,1.1688805,1.3979276,1.3076919,1.2256516,1.319408,1.2405658,1.4617761,1.2477705,1.2714545,1.3362172,1.2657408,1.2632881,1.3247032,1.2878526,1.2721707,1.3441333
8,1.1083899,1.2014188,1.3063143,1.2433021,1.0581471,1.2863986,1.2014188,1.1209506,1.2107288,1.1329623,1.3859771,1.1334201,1.1775602,1.2333587,1.154557,1.1515893,1.2134947,1.2173687,1.1739105,1.238955
9,1.0045741,1.0966438,1.1913415,1.1409976,0.95266247,1.1708417,1.0966438,1.0175519,1.0986063,1.0261085,1.2733407,1.0202074,1.0802577,1.1259938,1.0449744,1.04138,1.1038483,1.1081582,1.0749038,1.1332031
10,0.8926928,0.98596865,1.0787662,1.0283749,0.8426622,1.0569264,0.98596865,0.9157054,0.98773474,0.9139859,1.1661257,0.9052005,0.98160535,1.0196,0.9371569,0.9330016,0.9960436,1.0005496,0.97725594,1.027866
11,0.7847323,0.8835831,0.9801253,0.96071976,0.74024993,0.94495267,0.8835831,0.8154217,0.87745637,0.810463,1.0577475,0.79585284,0.8846637,0.9128912,0.821982,0.82630193,0.89002866,0.8948548,0.8800579,0.92169154
12,0.6840312,0.7852753,0.87488765,0.8566107,0.63967735,0.8347744,0.78294104,0.7089202,0.76872724,0.70884585,0.9479955,0.6951196,0.7919435,0.8072112,0.7093814,0.7217698,0.7859762,0.7910408,0.7852753,0.81273717
13,0.5770989,0.67751783,0.7728679,0.7548077,0.532497,0.7269,0.6747697,0.6114739,0.66292953,0.6092878,0.84510887,0.5882494,0.6956385,0.7095626,0.6040112,0.6192214,0.67751783,0.68942237,0.6894192,0.7083787
14,0.47419235,0.57283705,0.6722807,0.655171,0.43511865,0.6211939,0.57103705,0.5159899,0.5625704,0.51184034,0.7407199,0.48396078,0.60493416,0.61295897,0.5026143,0.51910657,0.57283705,0.577243,0.5915854,0.6117032
15,0.37427273,0.4748709,0.5613673,0.543045,0.33959004,0.5179479,0.47113368,0.41562274,0.45899662,0.41692552,0.6346565,0.38294342,0.5101392,0.5111188,0.3946854,0.4184357,0.4748709,0.47936344,0.4966355,0.5091933
16,0.2752248,0.37176135,0.4639404,0.44750145,0.23649578,0.41746056,0.36742276,0.3451453,0.3569553,0.31104213,0.5296963,0.28490704,0.4160666,0.40942523,0.29460624,0.31208745,0.37176135,0.38404444,0.41460562,0.4078091
17,0.18149924,0.27343392,0.3688421,0.35451838,0.1455441,0.30284846,0.27343392,0.24120706,0.26293203,0.22049116,0.42613697,0.19048803,0.34192333,0.3138258,0.20005642,0.21897194,0.27294305,0.2801391,0.331086,0.3090827
18,0.09845496,0.18349354,0.27084944,0.25753167,0.057353433,0.20701016,0.18349354,0.15217918,0.16625392,0.13273273,0.32412058,0.13813029,0.25259924,0.21945904,0.10873034,0.12887435,0.18261084,0.18552878,0.23842977,0.21574008
19,0.007954851,0.0867453,0.1781333,0.1591285,-0.027818061,0.11438868,0.0867453,0.066062525,0.06884056,0.03632397,0.23243181,0.05060227,0.16455868,0.12308809,0.016898079,0.042284682,0.086412705,0.09819784,0.14871122,0.12536167
20,-0.06607306,-0.0021557505,0.087263055,0.054843873,-0.10945986,0.020737635,-0.0021557505,-0.016984599,-0.017111897,-0.055226363,0.13861597,-0.041898414,0.07442484,0.056106485,-0.047179725,-0.04092927,-0.0049554817,0.009190971,0.063495345,0.03063996
21,-0.15633969,-0.08555251,0.0029932647,-0.027019428,-0.19457224,-0.08138906,-0.08387176,-0.11153722,-0.10463353,-0.14678155,0.04249285,-0.13522948,-0.0068816203,-0.028426275,-0.12955531,-0.11991026,-0.10188403,-0.08555251,-0.007039202,-0.06105235
22,-0.23356636,-0.17115933,-0.08291102,-0.1273976,-0.2783936,-0.16407607,-0.17115933,-0.18878764,-0.19611713,-0.22235955,-0.05643264,-0.21037748,-0.09409364,-0.12150045,-0.2080758,-0.21612611,-0.15959774,-0.18353757,-0.08953061,-0.14610732
23,-0.3110072,-0.25693196,-0.16827984,-0.20229226,-0.3495286,-0.24194793,-0.25693196,-0.2787627,-0.27188188,-0.29397115,-0.14317489,-0.2840323,-0.17981333,-0.1985402,-0.30137685,-0.28770015,-0.24322116,-0.25794294,-0.17455608,-0.24010363
24,-0.3840321,-0.34383577,-0.2540813,-0.2944916,-0.42821327,-0.31551212,-0.34383577,-0.3492455,-0.3473736,-0.3727263,-0.23221254,-0.37298682,-0.26390603,-0.2720523,-0.3729247,-0.35477495,-0.31401214,-0.35062075,-0.2595485,-0.32741
25,-0.45809907,-0.41510063,-0.3275641,-0.33604753,-0.49738368,-0.38376552,-0.41969424,-0.41510063,-0.43123588,-0.44827792,-0.30605102,-0.4412058,-0.33642873,-0.3571899,-0.4387867,-0.4337945,-0.37969336,-0.41695553,-0.33294237,-0.3997472
26,-0.5370268,-0.47785744,-0.40937588,-0.41882822,-0.5758894,-0.44673935,-0.49594873,-0.4960179,-0.49415967,-0.5273112,-0.38257715,-0.51813334,-0.41607556,-0.43332106,-0.5206204,-0.5053347,-0.46379465,-0.47785744,-0.42399067,-0.46771538
27,-0.60843956,-0.5541312,-0.47709844,-0.48121175,-0.6478321,-0.50731367,-0.56898993,-0.5567456,-0.5541312,-0.5873479,-0.46180797,-0.59859145,-0.49338683,-0.5093815,-0.5925553,-0.5781489,-0.5412086,-0.55676806,-0.48092106,-0.54860216
28,-0.66395485,-0.62687206,-0.555118,-0.56121296,-0.69918084,-0.5869909,-0.63781095,-0.62687206,-0.6282739,-0.6551483,-0.54421306,-0.6433733,-0.5795473,-0.58200467,-0.65490156,-0.6349141,-0.5818304,-0.62776047,-0.5578443,-0.60780424
29,-0.7318087,-0.68215954,-0.6102905,-0.610619,-0.75779855,-0.6641789,-0.70557725,-0.6968163,-0.7102199,-0.7253113,-0.6089765,-0.71396327,-0.6359481,-0.65130424,-0.72307414,-0.69581455,-0.6680777,-0.68215954,-0.6320127,-0.6811082
30,-0.793278,-0.73979735,-0.6835472,-0.68530726,-0.80630964,-0.7076683,-0.787426,-0.74320555,-0.7698817,-0.79002005,-0.67650694,-0.77742904,-0.70570993,-0.71544844,-0.78075993,-0.77501017,-0.7108155,-0.73979735,-0.70308536,-0.73841214
31,-0.8548352,-0.79922503,-0.7612288,-0.74796295,-0.8626923,-0.76871794,-0.843371,-0.79922503,-0.8187635,-0.85287094,-0.76454526,-0.8049519,-0.7852303,-0.77267945,-0.82861984,-0.8234366,-0.7897445,-0.82326496,-0.78067636,-0.79772824
32,-0.9126895,-0.8645198,-0.8174709,-0.81883496,-0.91555226,-0.81201476,-0.9015573,-0.8548966,-0.87751114,-0.91197383,-0.82360893,-0.87316525,-0.84828514,-0.8242236,-0.87962884,-0.87947714,-0.8645198,-0.87092113,-0.8311223,-0.8541754
33,-0.9727846,-0.91451585,-0.87063104,-0.84311634,-0.9706956,-0.8868695,-0.966989,-0.911426,-0.92583776,-0.9811403,-0.8775097,-0.91830885,-0.90704226,-0.88477296,-0.91991335,-0.9333177,-0.88947606,-0.91451585,-0.8923132,-0.92467743
34,-1.0144585,-0.9702071,-0.9115851,-0.8806254,-1.0050468,-0.919325,-1.0082533,-0.9346766,-0.9919543,-1.0392793,-0.93439025,-0.9702071,-0.97628146,-0.95648086,-0.9829353,-0.97583747,-0.9382304,-0.98228323,-0.94878095,-0.9681702
