time_index,normal_p05,normal_p50,normal_p95,normal_reference_00,normal_reference_01,normal_reference_02,normal_reference_03,normal_reference_04,normal_reference_05,normal_reference_06,normal_reference_07,normal_reference_08,normal_reference_09,normal_reference_10,normal_reference_11,normal_reference_12,normal_reference_13,normal_reference_14,normal_reference_15,normal_reference_16,normal_reference_17,normal_reference_18,normal_reference_19
0,-1.0180024,-0.47678465,-0.38424256,-0.89983785,-0.44019178,-0.4745202,-0.48810077,-0.8839172,-0.8288605,-0.40118757,-0.52956367,-0.42624205,-1.0709071,-0.39395708,-0.3889205,-0.40923634,-0.45239347,-0.89540905,-0.44348082,-0.4465303,-0.40987858,-0.9711145,-0.47345078
1,-0.9397291,-0.41838884,-0.33258575,-0.99831724,-0.38004166,-0.41458085,-0.4060913,-0.83112305,-0.83042043,-0.34314764,-0.48464265,-0.36998466,-0.96728194,-0.36322206,-0.33253112,-0.35526988,-0.39291424,-0.79104155,-0.38026446,-0.4189226,-0.38530403,-0.8951693,-0.42229328
2,-0.7110582,-0.24464816,-0.15847088,-0.7659199,-0.17696214,-0.27136102,-0.265993,-0.5753926,-0.5996084,-0.19110258,-0.3434257,-0.16766383,-0.82710016,-0.17345293,-0.14383803,-0.16856582,-0.21198402,-0.6477447,-0.2101181,-0.21979462,-0.2558272,-0.678312,-0.26385173
3,-0.4467059,-0.02217406,0.07005533,-0.46960455,0.05910608,-0.036724236,-0.036649927,-0.42211914,-0.35984132,0.043926526,-0.08545907,0.075591505,-0.49761057,0.02906211,0.08923798,0.04919849,-0.0032685262,-0.36023098,0.0006802124,0.010801134,-0.038931698,-0.4673478,-0.040812247
4,-0.18828027,0.20665354,0.31129944,-0.13966347,0.32463425,0.1610002,0.209349,-0.08563172,0.0016004457,0.31016025,0.17086998,0.30616963,-0.20952308,0.2521734,0.16949446,0.3158563,0.17043918,-0.025680007,0.20967749,0.24906103,0.2039982,-0.1381885,0.20665354
5,0.121706575,0.4488029,0.55673283,0.19893254,0.56662685,0.40832853,0.46411884,0.27760988,0.32161736,0.5532758,0.45937258,0.56860614,0.08024352,0.48015127,0.3895441,0.55605996,0.41407752,0.23239233,0.46272293,0.506761,0.45061252,0.19306189,0.44681537
6,0.42089373,0.67265946,0.7994893,0.59273314,0.8322845,0.6181477,0.6706044,0.62211806,0.6646866,0.7803815,0.7038854,0.7682813,0.43050608,0.74115264,0.61408156,0.8198234,0.59347826,0.60184747,0.70290387,0.75679684,0.6758154,0.5027834,0.715265
7,0.66976005,0.8992582,1.0208164,0.8653059,1.0206988,0.8926812,0.8759677,0.7858295,0.84777623,0.93311125,0.88148224,0.9237883,0.6643343,1.0042976,0.8490227,1.0074611,0.87572145,0.8436465,0.9422357,0.9381071,0.9436674,0.84339625,1.0061651
8,0.87241983,1.1010112,1.22041,1.1040775,1.196196,1.1054533,1.0700204,1.0376045,1.0932055,1.1033183,1.1424029,1.0704397,0.986052,1.1639111,1.0812536,1.1715391,1.0302542,1.041686,1.1120733,1.1725909,1.2125969,1.0056947,1.2126212
9,1.0824643,1.2573397,1.3735518,1.366007,1.3046474,1.2229445,1.2534122,1.256692,1.3596069,1.3184899,1.2926426,1.1753849,1.2908826,1.2250625,1.2254472,1.2828021,1.2114676,1.2684193,1.2573397,1.3248948,1.3696376,1.1627178,1.4056966
10,1.2311348,1.3650672,1.4751819,1.4775273,1.3869412,1.3462158,1.3284225,1.4299625,1.3355145,1.3588896,1.3816819,1.2680571,1.4182072,1.3697284,1.3399744,1.3009777,1.3611004,1.363874,1.3650672,1.4215078,1.4206289,1.3212142,1.5000192
11,1.3052032,1.4130979,1.5486073,1.5665915,1.393254,1.4121555,1.42381,1.628339,1.4386435,1.3507053,1.5230916,1.2936687,1.5615553,1.3316067,1.4108472,1.2900225,1.306946,1.4931401,1.4055649,1.3964455,1.3923699,1.3218796,1.4165627
12,1.265002,1.3874592,1.5474223,1.5531412,1.2674503,1.438858,1.3314939,1.3522271,1.3869925,1.3155879,1.4190573,1.209007,1.4894495,1.3007268,1.4066508,1.2431209,1.4298981,1.5199938,1.3969971,1.3827955,1.3170822,1.3610404,1.3683985
13,1.1517146,1.2837976,1.450708,1.361738,1.1967787,1.2670822,1.1968296,1.2386179,1.2048849,1.2375926,1.265735,1.075731,1.4169118,1.2703685,1.3518643,1.1191599,1.3157262,1.4175816,1.3116024,1.2648963,1.2222599,1.3838999,1.1891828
14,1.0075965,1.1599944,1.345633,1.0601009,1.071752,1.2427986,1.1133729,1.3959568,1.0480253,1.113035,1.1253529,0.96791965,1.2646885,1.1469649,1.2586105,0.9895657,1.1569166,1.2457057,1.1947151,1.1409832,1.0838152,1.311234,1.0206833
15,0.83221203,0.9950357,1.2066439,0.9610952,0.85148203,1.112553,0.9422073,1.3651372,0.7957786,0.9189926,0.930449,0.8307119,1.0891494,0.9687829,1.1221395,0.8601582,0.98156613,1.1722747,1.0612584,0.9699944,0.925697,1.1693712,0.93659824
16,0.6306601,0.82206327,1.048762,1.0465337,0.6767294,0.9256353,0.74738675,1.1285797,0.6259772,0.6653777,0.6604414,0.6316614,0.8176131,0.87550604,0.9223143,0.7536569,0.7863043,0.937261,0.8791995,0.7987818,0.74463797,1.008879,0.74798304
17,0.41591138,0.6045943,0.89005286,0.893493,0.50187963,0.7142454,0.5284093,0.9144913,0.33542565,0.5017572,0.5245225,0.50161904,0.5692486,0.6897635,0.7461813,0.5444201,0.5868506,0.65584254,0.72508234,0.5917939,0.53750974,0.8219624,0.5666119
18,0.16412099,0.38703334,0.6851982,0.4063007,0.34888208,0.5347415,0.32803684,0.79967356,0.09450299,0.31110585,0.31545842,0.2239699,0.32520184,0.37708324,0.49792242,0.2813103,0.3599514,0.477239,0.585605,0.32964647,0.30827487,0.6030615,0.3554563
19,-0.103705004,0.15349662,0.48328137,0.2295173,0.12696113,0.25313967,0.08372122,0.4999388,-0.13561569,0.12606281,0.07797758,0.006509928,0.07415074,0.15463825,0.29110315,0.029778033,0.21272612,0.19938575,0.428529,0.2034118,0.024433762,0.34903947,0.10029743
20,-0.35767716,-0.07304445,0.27670446,0.1017397,-0.1452684,0.01906836,-0.15634184,0.20624708,-0.35348603,-0.12686738,-0.13725147,-0.20400515,-0.2564902,-0.08397089,0.048118923,-0.18963578,-0.023066618,0.1378003,0.16689004,0.1626016,-0.2842252,0.035373397,-0.14618053
