index,is_true_anomaly,is_primary_candidate,is_cross_confirmed,is_auxiliary_candidate,final_lane
0,0,0,0,0,알림 없음
1,0,0,0,0,알림 없음
2,0,0,0,0,알림 없음
3,0,0,0,0,알림 없음
4,0,0,0,0,알림 없음
5,0,0,0,0,알림 없음
6,0,0,0,0,알림 없음
7,0,0,0,0,알림 없음
8,0,0,0,0,알림 없음
9,0,0,0,0,알림 없음
10,0,0,0,0,알림 없음
11,0,0,0,0,알림 없음
12,0,0,0,0,알림 없음
13,0,0,0,0,알림 없음
14,0,0,0,0,알림 없음
15,0,0,0,0,알림 없음
16,0,0,0,0,알림 없음
17,0,0,0,0,알림 없음
18,0,0,0,0,알림 없음
19,0,0,0,0,알림 없음
20,0,0,0,0,알림 없음
21,0,0,0,0,알림 없음
22,0,0,0,0,알림 없음
23,0,0,0,0,알림 없음
24,0,0,0,0,알림 없음
25,0,0,0,0,알림 없음
26,0,0,0,0,알림 없음
27,0,0,0,0,알림 없음
28,0,0,0,0,알림 없음
29,0,0,0,0,알림 없음
30,0,0,0,0,알림 없음
31,0,0,0,0,알림 없음
32,0,0,0,0,알림 없음
33,0,0,0,0,알림 없음
34,0,0,0,0,알림 없음
35,0,0,0,0,알림 없음
36,0,0,0,0,알림 없음
37,0,0,0,0,알림 없음
38,0,0,0,0,알림 없음
39,0,0,0,0,알림 없음
40,0,0,0,0,알림 없음
41,0,0,0,0,알림 없음
42,0,0,0,0,알림 없음
43,0,0,0,0,알림 없음
44,0,0,0,0,알림 없음
45,0,0,0,0,알림 없음
46,0,0,0,0,알림 없음
47,0,0,0,0,알림 없음
48,0,0,0,0,알림 없음
49,0,0,0,0,알림 없음
50,0,0,0,0,알림 없음
51,0,0,0,0,알림 없음
52,0,0,0,0,알림 없음
53,0,0,0,0,알림 없음
54,0,0,0,0,알림 없음
55,0,0,0,0,알림 없음
56,0,0,0,0,알림 없음
57,0,0,0,0,알림 없음
58,0,0,0,0,알림 없음
59,0,0,0,0,알림 없음
60,0,0,0,0,알림 없음
61,0,0,0,0,알림 없음
62,0,0,0,0,알림 없음
63,0,0,0,0,알림 없음
64,0,0,0,0,알림 없음
65,0,0,0,0,알림 없음
66,0,0,0,0,알림 없음
67,0,0,0,0,알림 없음
68,0,0,0,0,알림 없음
69,0,0,0,0,알림 없음
70,0,0,0,0,알림 없음
71,0,0,0,0,알림 없음
72,0,0,0,0,알림 없음
73,0,0,0,0,알림 없음
74,0,0,0,0,알림 없음
75,0,0,0,0,알림 없음
76,0,0,0,0,알림 없음
77,0,0,0,0,알림 없음
78,0,0,0,0,알림 없음
79,0,0,0,0,알림 없음
80,0,0,0,0,알림 없음
81,0,0,0,0,알림 없음
82,0,0,0,0,알림 없음
83,0,0,0,0,알림 없음
84,0,0,0,0,알림 없음
85,0,0,0,0,알림 없음
86,0,0,0,0,알림 없음
87,0,0,0,0,알림 없음
88,0,0,0,0,알림 없음
89,0,0,0,0,알림 없음
90,0,0,0,0,알림 없음
91,0,0,0,0,알림 없음
92,0,0,0,0,알림 없음
93,0,0,0,0,알림 없음
94,0,0,0,0,알림 없음
95,0,0,0,0,알림 없음
96,0,0,0,0,알림 없음
97,0,0,0,0,알림 없음
98,0,0,0,0,알림 없음
99,0,0,0,0,알림 없음
100,0,0,0,0,알림 없음
101,0,0,0,0,알림 없음
102,0,0,0,0,알림 없음
103,0,0,0,0,알림 없음
104,0,0,0,0,알림 없음
105,0,0,0,0,알림 없음
106,0,0,0,0,알림 없음
107,0,0,0,0,알림 없음
108,0,0,0,0,알림 없음
109,0,0,0,0,알림 없음
110,0,0,0,0,알림 없음
111,0,0,0,0,알림 없음
112,0,0,0,0,알림 없음
113,0,0,0,0,알림 없음
114,0,0,0,0,알림 없음
115,0,0,0,0,알림 없음
116,0,0,0,0,알림 없음
117,0,0,0,0,알림 없음
118,0,0,0,0,알림 없음
119,0,0,0,0,알림 없음
120,0,0,0,0,알림 없음
121,0,0,0,0,알림 없음
122,0,0,0,0,알림 없음
123,0,0,0,0,알림 없음
124,0,0,0,0,알림 없음
125,0,0,0,0,알림 없음
126,0,0,0,0,알림 없음
127,0,0,0,0,알림 없음
128,0,0,0,0,알림 없음
129,0,0,0,0,알림 없음
130,0,0,0,0,알림 없음
131,0,0,0,0,알림 없음
132,0,0,0,0,알림 없음
133,0,0,0,0,알림 없음
134,0,0,0,0,알림 없음
135,0,0,0,0,알림 없음
136,0,0,0,0,알림 없음
137,0,0,0,0,알림 없음
138,0,0,0,0,알림 없음
139,0,0,0,0,알림 없음
140,0,0,0,0,알림 없음
141,0,0,0,0,알림 없음
142,0,0,0,0,알림 없음
143,0,0,0,0,알림 없음
144,0,0,0,0,알림 없음
145,0,0,0,0,알림 없음
146,0,0,0,0,알림 없음
147,0,0,0,0,알림 없음
148,0,0,0,0,알림 없음
149,0,0,0,0,알림 없음
150,0,0,0,0,알림 없음
151,0,0,0,0,알림 없음
152,0,0,0,0,알림 없음
153,0,0,0,0,알림 없음
154,0,0,0,0,알림 없음
155,0,0,0,0,알림 없음
156,0,0,0,0,알림 없음
157,0,0,0,0,알림 없음
158,0,0,0,0,알림 없음
159,0,0,0,0,알림 없음
160,0,0,0,0,알림 없음
161,0,0,0,0,알림 없음
162,0,0,0,0,알림 없음
163,0,0,0,0,알림 없음
164,0,0,0,0,알림 없음
165,0,0,0,0,알림 없음
166,0,0,0,0,알림 없음
167,0,0,0,0,알림 없음
168,0,0,0,0,알림 없음
169,0,0,0,0,알림 없음
170,0,0,0,0,알림 없음
171,0,0,0,0,알림 없음
172,0,0,0,0,알림 없음
173,0,0,0,0,알림 없음
174,0,0,0,0,알림 없음
175,0,0,0,0,알림 없음
176,0,0,0,0,알림 없음
177,0,0,0,0,알림 없음
178,0,0,0,0,알림 없음
179,0,0,0,0,알림 없음
180,0,0,0,0,알림 없음
181,0,0,0,0,알림 없음
182,0,0,0,0,알림 없음
183,0,0,0,0,알림 없음
184,0,0,0,0,알림 없음
185,0,0,0,0,알림 없음
186,0,0,0,0,알림 없음
187,0,0,0,0,알림 없음
188,0,0,0,0,알림 없음
189,0,0,0,0,알림 없음
190,0,0,0,0,알림 없음
191,0,0,0,0,알림 없음
192,0,0,0,0,알림 없음
193,0,0,0,0,알림 없음
194,0,0,0,0,알림 없음
195,0,0,0,0,알림 없음
196,0,0,0,0,알림 없음
197,0,0,0,0,알림 없음
198,0,0,0,0,알림 없음
199,0,0,0,0,알림 없음
200,0,0,0,0,알림 없음
201,0,0,0,0,알림 없음
202,0,0,0,0,알림 없음
203,0,0,0,0,알림 없음
204,0,0,0,0,알림 없음
205,0,0,0,0,알림 없음
206,0,0,0,0,알림 없음
207,0,0,0,0,알림 없음
208,0,0,0,0,알림 없음
209,0,0,0,0,알림 없음
210,0,0,0,0,알림 없음
211,0,0,0,0,알림 없음
212,0,0,0,0,알림 없음
213,0,0,0,0,알림 없음
214,0,0,0,0,알림 없음
215,0,0,0,0,알림 없음
216,0,0,0,0,알림 없음
217,0,0,0,0,알림 없음
218,0,0,0,0,알림 없음
219,0,0,0,0,알림 없음
220,0,0,0,0,알림 없음
221,0,0,0,0,알림 없음
222,0,0,0,0,알림 없음
223,0,0,0,0,알림 없음
224,0,0,0,0,알림 없음
225,0,0,0,0,알림 없음
226,0,0,0,0,알림 없음
227,0,0,0,0,알림 없음
228,0,0,0,0,알림 없음
229,0,0,0,0,알림 없음
230,0,0,0,0,알림 없음
231,0,0,0,0,알림 없음
232,0,0,0,0,알림 없음
233,0,0,0,0,알림 없음
234,0,0,0,0,알림 없음
235,0,0,0,0,알림 없음
236,0,0,0,0,알림 없음
237,0,0,0,0,알림 없음
238,0,0,0,0,알림 없음
239,0,0,0,0,알림 없음
240,0,0,0,0,알림 없음
241,0,0,0,0,알림 없음
242,0,0,0,0,알림 없음
243,0,0,0,0,알림 없음
244,0,0,0,0,알림 없음
245,0,0,0,0,알림 없음
246,0,0,0,0,알림 없음
247,0,0,0,0,알림 없음
248,0,0,0,0,알림 없음
249,0,0,0,0,알림 없음
250,0,0,0,0,알림 없음
251,0,0,0,0,알림 없음
252,0,0,0,0,알림 없음
253,0,0,0,0,알림 없음
254,0,0,0,0,알림 없음
255,0,0,0,0,알림 없음
256,0,0,0,0,알림 없음
257,0,0,0,0,알림 없음
258,0,0,0,0,알림 없음
259,0,0,0,0,알림 없음
260,0,0,0,0,알림 없음
261,0,0,0,0,알림 없음
262,0,0,0,0,알림 없음
263,0,0,0,0,알림 없음
264,0,0,0,0,알림 없음
265,0,0,0,0,알림 없음
266,0,0,0,0,알림 없음
267,0,0,0,0,알림 없음
268,0,0,0,0,알림 없음
269,0,0,0,0,알림 없음
270,0,0,0,0,알림 없음
271,0,0,0,0,알림 없음
272,0,0,0,0,알림 없음
273,0,0,0,0,알림 없음
274,0,0,0,0,알림 없음
275,0,0,0,0,알림 없음
276,0,0,0,0,알림 없음
277,0,0,0,0,알림 없음
278,0,0,0,0,알림 없음
279,0,0,0,0,알림 없음
280,0,0,0,0,알림 없음
281,0,0,0,0,알림 없음
282,0,0,0,0,알림 없음
283,0,0,0,0,알림 없음
284,0,0,0,0,알림 없음
285,0,0,0,0,알림 없음
286,0,0,0,0,알림 없음
287,0,0,0,0,알림 없음
288,0,0,0,0,알림 없음
289,0,0,0,0,알림 없음
290,0,0,0,0,알림 없음
291,0,0,0,0,알림 없음
292,0,0,0,0,알림 없음
293,0,0,0,0,알림 없음
294,0,0,0,0,알림 없음
295,0,0,0,0,알림 없음
296,0,0,0,0,알림 없음
297,0,0,0,0,알림 없음
298,0,0,0,0,알림 없음
299,0,0,0,0,알림 없음
300,0,0,0,0,알림 없음
301,0,0,0,0,알림 없음
302,0,0,0,0,알림 없음
303,0,0,0,0,알림 없음
304,0,0,0,0,알림 없음
305,0,0,0,0,알림 없음
306,0,0,0,0,알림 없음
307,0,0,0,0,알림 없음
308,0,0,0,0,알림 없음
309,0,0,0,0,알림 없음
310,0,0,0,0,알림 없음
311,0,0,0,0,알림 없음
312,0,0,0,0,알림 없음
313,0,0,0,0,알림 없음
314,0,0,0,0,알림 없음
315,0,0,0,0,알림 없음
316,0,0,0,0,알림 없음
317,0,0,0,0,알림 없음
318,0,0,0,0,알림 없음
319,0,0,0,0,알림 없음
320,0,0,0,0,알림 없음
321,0,0,0,0,알림 없음
322,0,0,0,0,알림 없음
323,0,0,0,0,알림 없음
324,0,0,0,0,알림 없음
325,0,0,0,0,알림 없음
326,0,0,0,0,알림 없음
327,0,0,0,0,알림 없음
328,0,0,0,0,알림 없음
329,0,0,0,0,알림 없음
330,0,0,0,0,알림 없음
331,0,0,0,0,알림 없음
332,0,0,0,0,알림 없음
333,0,0,0,0,알림 없음
334,0,0,0,0,알림 없음
335,0,0,0,0,알림 없음
336,0,0,0,0,알림 없음
337,0,0,0,0,알림 없음
338,0,0,0,0,알림 없음
339,0,0,0,0,알림 없음
340,0,0,0,0,알림 없음
341,0,0,0,0,알림 없음
342,0,0,0,0,알림 없음
343,0,0,0,0,알림 없음
344,0,0,0,0,알림 없음
345,0,0,0,0,알림 없음
346,0,0,0,0,알림 없음
347,0,0,0,0,알림 없음
348,0,0,0,0,알림 없음
349,0,0,0,0,알림 없음
350,0,0,0,0,알림 없음
351,0,0,0,0,알림 없음
352,0,0,0,0,알림 없음
353,0,0,0,0,알림 없음
354,0,0,0,0,알림 없음
355,0,0,0,0,알림 없음
356,0,0,0,0,알림 없음
357,0,0,0,0,알림 없음
358,0,0,0,0,알림 없음
359,0,0,0,0,알림 없음
360,0,0,0,0,알림 없음
361,0,0,0,0,알림 없음
362,0,0,0,0,알림 없음
363,0,0,0,0,알림 없음
364,0,0,0,0,알림 없음
365,0,0,0,0,알림 없음
366,0,0,0,0,알림 없음
367,0,0,0,0,알림 없음
368,0,0,0,0,알림 없음
369,0,0,0,0,알림 없음
370,0,0,0,0,알림 없음
371,0,0,0,0,알림 없음
372,0,0,0,0,알림 없음
373,0,0,0,0,알림 없음
374,0,0,0,0,알림 없음
375,0,0,0,0,알림 없음
376,0,0,0,0,알림 없음
377,0,0,0,0,알림 없음
378,0,0,0,0,알림 없음
379,0,0,0,0,알림 없음
380,0,0,0,0,알림 없음
381,0,0,0,0,알림 없음
382,0,0,0,0,알림 없음
383,0,0,0,0,알림 없음
384,0,0,0,0,알림 없음
385,0,0,0,0,알림 없음
386,0,0,0,0,알림 없음
387,0,0,0,0,알림 없음
388,0,0,0,0,알림 없음
389,0,0,0,0,알림 없음
390,0,0,0,0,알림 없음
391,0,0,0,0,알림 없음
392,0,0,0,0,알림 없음
393,0,0,0,0,알림 없음
394,0,0,0,0,알림 없음
395,0,0,0,0,알림 없음
396,0,0,0,0,알림 없음
397,0,0,0,0,알림 없음
398,0,0,0,0,알림 없음
399,0,0,0,0,알림 없음
400,0,0,0,0,알림 없음
401,0,0,0,0,알림 없음
402,0,0,0,0,알림 없음
403,0,0,0,0,알림 없음
404,0,0,0,0,알림 없음
405,0,0,0,0,알림 없음
406,0,0,0,0,알림 없음
407,0,0,0,0,알림 없음
408,0,0,0,0,알림 없음
409,0,0,0,0,알림 없음
410,0,0,0,0,알림 없음
411,0,0,0,0,알림 없음
412,0,0,0,0,알림 없음
413,0,0,0,0,알림 없음
414,0,0,0,0,알림 없음
415,0,0,0,0,알림 없음
416,0,0,0,0,알림 없음
417,0,0,0,0,알림 없음
418,0,0,0,0,알림 없음
419,0,0,0,0,알림 없음
420,0,0,0,0,알림 없음
421,0,0,0,0,알림 없음
422,0,0,0,0,알림 없음
423,0,0,0,0,알림 없음
424,0,0,0,0,알림 없음
425,0,0,0,0,알림 없음
426,0,0,0,0,알림 없음
427,0,0,0,0,알림 없음
428,0,0,0,0,알림 없음
429,0,0,0,0,알림 없음
430,0,0,0,0,알림 없음
431,0,0,0,0,알림 없음
432,0,0,0,0,알림 없음
433,0,0,0,0,알림 없음
434,0,0,0,0,알림 없음
435,0,0,0,0,알림 없음
436,0,0,0,0,알림 없음
437,0,0,0,0,알림 없음
438,0,0,0,0,알림 없음
439,0,0,0,0,알림 없음
440,0,0,0,0,알림 없음
441,0,0,0,0,알림 없음
442,0,0,0,0,알림 없음
443,0,0,0,0,알림 없음
444,0,0,0,0,알림 없음
445,0,0,0,0,알림 없음
446,0,0,0,0,알림 없음
447,0,0,0,0,알림 없음
448,0,0,0,0,알림 없음
449,0,0,0,0,알림 없음
450,0,0,0,0,알림 없음
451,0,0,0,0,알림 없음
452,0,0,0,0,알림 없음
453,0,0,0,0,알림 없음
454,0,0,0,0,알림 없음
455,0,0,0,0,알림 없음
456,0,0,0,0,알림 없음
457,0,0,0,0,알림 없음
458,0,0,0,0,알림 없음
459,0,0,0,0,알림 없음
460,0,0,0,0,알림 없음
461,0,0,0,0,알림 없음
462,0,0,0,0,알림 없음
463,0,0,0,0,알림 없음
464,0,0,0,0,알림 없음
465,0,0,0,0,알림 없음
466,0,0,0,0,알림 없음
467,0,0,0,0,알림 없음
468,0,0,0,0,알림 없음
469,0,0,0,0,알림 없음
470,0,0,0,0,알림 없음
471,0,0,0,0,알림 없음
472,0,0,0,0,알림 없음
473,0,0,0,0,알림 없음
474,0,0,0,0,알림 없음
475,0,0,0,0,알림 없음
476,0,0,0,0,알림 없음
477,0,0,0,0,알림 없음
478,0,0,0,0,알림 없음
479,0,0,0,0,알림 없음
480,0,0,0,0,알림 없음
481,0,0,0,0,알림 없음
482,0,0,0,0,알림 없음
483,0,0,0,0,알림 없음
484,0,0,0,0,알림 없음
485,0,0,0,0,알림 없음
486,0,0,0,0,알림 없음
487,0,0,0,0,알림 없음
488,0,0,0,0,알림 없음
489,0,0,0,0,알림 없음
490,0,0,0,0,알림 없음
491,0,0,0,0,알림 없음
492,0,0,0,0,알림 없음
493,0,0,0,0,알림 없음
494,0,0,0,0,알림 없음
495,0,0,0,0,알림 없음
496,0,0,0,0,알림 없음
497,0,0,0,0,알림 없음
498,0,0,0,0,알림 없음
499,0,0,0,0,알림 없음
500,0,0,0,0,알림 없음
501,0,0,0,0,알림 없음
502,0,0,0,0,알림 없음
503,0,0,0,0,알림 없음
504,0,0,0,0,알림 없음
505,0,0,0,0,알림 없음
506,0,0,0,0,알림 없음
507,0,0,0,0,알림 없음
508,0,0,0,0,알림 없음
509,0,0,0,0,알림 없음
510,0,0,0,0,알림 없음
511,0,0,0,0,알림 없음
512,0,0,0,0,알림 없음
513,0,0,0,0,알림 없음
514,0,0,0,0,알림 없음
515,0,0,0,0,알림 없음
516,0,0,0,0,알림 없음
517,0,0,0,0,알림 없음
518,0,0,0,0,알림 없음
519,0,0,0,0,알림 없음
