time_index,normal_p05,normal_p50,normal_p95,normal_reference_00,normal_reference_01,normal_reference_02,normal_reference_03,normal_reference_04,normal_reference_05,normal_reference_06,normal_reference_07,normal_reference_08,normal_reference_09,normal_reference_10,normal_reference_11,normal_reference_12,normal_reference_13,normal_reference_14,normal_reference_15
0,-0.6827195,-0.57793,-0.5407913,-0.5804491,-0.57541084,-0.56377685,-0.64347667,-0.71359444,-0.5439817,-0.6131903,-0.5632321,-0.5626284,-0.5401648,-0.60936713,-0.54100007,-0.6604386,-0.6121296,-0.6724279,-0.55705
1,-0.6827195,-0.577551,-0.47066808,-0.518997,-0.44970834,-0.59495336,-0.5690475,-0.71359444,-0.6156259,-0.5100894,-0.54042035,-0.59193736,-0.5800894,-0.47765467,-0.5796522,-0.58500737,-0.49542007,-0.6724279,-0.5754498
2,1.7196438,1.7303653,1.7469939,1.732647,1.7249371,1.7578393,1.7312104,1.723209,1.7283834,1.7343845,1.7222764,1.7284392,1.7295203,1.7396249,1.7117459,1.7433788,1.7319475,1.7286156,1.734883
3,-0.7045085,-0.617215,-0.58478576,-0.6691663,-0.6625576,-0.6119362,-0.57277817,-0.71359444,-0.70147985,-0.6072041,-0.60848,-0.60585135,-0.6175408,-0.688841,-0.6168892,-0.5887883,-0.6986502,-0.6724279,-0.60010767
4,-0.6827195,-0.5774132,-0.5405288,-0.5804491,-0.57437724,-0.56592554,-0.64347667,-0.71359444,-0.5439817,-0.6131903,-0.5632321,-0.5626284,-0.53911495,-0.6041463,-0.54100007,-0.65024203,-0.6121296,-0.6724279,-0.5559689
5,-0.6827195,-0.5717081,-0.47565928,-0.5179607,-0.43516716,-0.59602773,-0.5690475,-0.71359444,-0.6156259,-0.5100894,-0.54260135,-0.59193736,-0.5790396,-0.48915666,-0.5796522,-0.5238377,-0.49542007,-0.6724279,-0.5743687
6,1.7109349,1.7331874,1.7422557,1.7363997,1.7281785,1.7419205,1.7327374,1.7044972,1.7285786,1.7336375,1.7238523,1.7320168,1.7365766,1.7394834,1.7130808,1.7432612,1.7311724,1.737582,1.7373778
7,-0.7045085,-0.6172099,-0.5847269,-0.66915625,-0.6624974,-0.6119465,-0.57277817,-0.71359444,-0.70147985,-0.60721403,-0.6084904,-0.60585135,-0.6175307,-0.6888612,-0.6168892,-0.5887099,-0.6986502,-0.6724279,-0.6000973
8,-0.6827195,-0.5774132,-0.5402638,-0.5804491,-0.57437724,-0.56377685,-0.64347667,-0.71359444,-0.5439817,-0.6131903,-0.5632321,-0.5626284,-0.538055,-0.6041463,-0.54100007,-0.65024203,-0.6121296,-0.6724279,-0.5559689
9,-0.6827195,-0.5717081,-0.47669792,-0.5179607,-0.43932176,-0.59602773,-0.5690475,-0.71359444,-0.6156259,-0.5090635,-0.54260135,-0.59193736,-0.5790396,-0.48915666,-0.5796522,-0.507529,-0.49542007,-0.6724279,-0.5743687
10,1.7191696,1.7338617,1.7435073,1.7375667,1.7308578,1.7467138,1.7312877,1.7223134,1.7285581,1.7389264,1.7277864,1.7284914,1.7394536,1.740675,1.7097385,1.7424384,1.7317059,1.7360176,1.7407875
11,-0.7045085,-0.6172099,-0.5846902,-0.6691663,-0.6625175,-0.6119362,-0.57277817,-0.71359444,-0.70147985,-0.60721403,-0.6084904,-0.60585135,-0.6175307,-0.68887126,-0.6168892,-0.5886609,-0.6986502,-0.6724279,-0.60010767
12,-0.6827195,-0.5774132,-0.5405288,-0.5804491,-0.57437724,-0.56377685,-0.64347667,-0.71359444,-0.5439817,-0.6121644,-0.5632321,-0.5626284,-0.53911495,-0.60936713,-0.54100007,-0.65024203,-0.62254834,-0.6724279,-0.55705
13,-0.6827195,-0.5717081,-0.42886227,-0.5179607,-0.43828815,-0.59602773,-0.5690475,-0.71359444,-0.6156259,-0.5090635,-0.54042035,-0.59193736,-0.5790396,-0.44524914,-0.5796522,-0.507529,-0.4005847,-0.6724279,-0.5743687
14,1.7199856,1.7303102,1.7498512,1.735303,1.7272652,1.7612174,1.7321962,1.7239553,1.7281471,1.7372332,1.7223809,1.7260507,1.7351027,1.7393318,1.7127997,1.7460625,1.7284242,1.7239435,1.7330637
15,-0.7045085,-0.6172099,-0.5846902,-0.6691663,-0.6625075,-0.6119362,-0.57277817,-0.71359444,-0.70147985,-0.60721403,-0.60848,-0.60585135,-0.6175307,-0.6886794,-0.6168892,-0.5886609,-0.6982375,-0.6724279,-0.60010767
16,-0.6827195,-0.5784481,-0.5405288,-0.5814854,-0.57541084,-0.56592554,-0.64347667,-0.71359444,-0.5461188,-0.6131903,-0.5632321,-0.5626284,-0.53911495,-0.60936713,-0.54100007,-0.65024203,-0.62359524,-0.6724279,-0.55705
17,-0.6827195,-0.5717081,-0.4275586,-0.5179607,-0.43724447,-0.59602773,-0.5690475,-0.71359444,-0.61669445,-0.5100894,-0.5393351,-0.59193736,-0.5790396,-0.44524914,-0.5796522,-0.5085477,-0.39850095,-0.6724279,-0.5743687
18,1.7146525,1.7321649,1.7414379,1.7345988,1.7270746,1.7388214,1.7347864,1.7153404,1.7225783,1.7368646,1.7242175,1.7242358,1.7348099,1.7401903,1.712589,1.745181,1.7308502,1.7230301,1.7334795
19,-0.7045162,-0.6172099,-0.5846902,-0.6691663,-0.6625075,-0.6119465,-0.57277817,-0.71359444,-0.7014901,-0.60721403,-0.60848,-0.60585135,-0.6175307,-0.6886794,-0.6168892,-0.5886609,-0.6982375,-0.6724279,-0.60010767
20,-0.6827195,-0.5784455,-0.5405288,-0.5794028,-0.5774882,-0.56592554,-0.64347667,-0.71359444,-0.5471873,-0.6131903,-0.5632321,-0.5626284,-0.53911495,-0.60936713,-0.54100007,-0.65024203,-0.62359524,-0.6724279,-0.5559689
21,-0.6827195,-0.5717081,-0.43434477,-0.5179607,-0.44970834,-0.59602773,-0.5690475,-0.71359444,-0.61669445,-0.5100894,-0.54042035,-0.59193736,-0.5790396,-0.44524914,-0.5796522,-0.5085477,-0.4016316,-0.6724279,-0.5743687
22,1.7169765,1.731148,1.7407727,1.7393676,1.7267936,1.7366521,1.7345061,1.7229531,1.7190747,1.733229,1.7260959,1.7267911,1.7359506,1.7395743,1.710682,1.744368,1.7277297,1.7290671,1.7365566
23,-0.7045239,-0.6172099,-0.5846902,-0.6691663,-0.6625576,-0.6119465,-0.57277817,-0.71359444,-0.7015004,-0.60721403,-0.60848,-0.60585135,-0.6175307,-0.6886794,-0.6168892,-0.5886609,-0.69825757,-0.6724279,-0.6000973
24,-0.6827195,-0.57896864,-0.5413116,-0.5804491,-0.5774882,-0.56592554,-0.64347667,-0.71359444,-0.5450502,-0.6131903,-0.5632321,-0.5626284,-0.53911495,-0.61041737,-0.54204386,-0.65024203,-0.62359524,-0.6724279,-0.5559689
25,-0.6827195,-0.5722487,-0.40480885,-0.5179607,-0.44036546,-0.59602773,-0.5690475,-0.71359444,-0.61669445,-0.5100894,-0.54151607,-0.59193736,-0.5790396,-0.40552232,-0.5796522,-0.5085477,-0.40266845,-0.6724279,-0.5754498
26,1.7192222,1.730696,1.7402477,1.7363393,1.7270947,1.7361872,1.7358785,1.7261624,1.7234105,1.7315059,1.7269412,1.7284914,1.7370712,1.7388775,1.7066572,1.7443582,1.7285048,1.729886,1.7363071
27,-0.7045162,-0.6172099,-0.5846902,-0.6691663,-0.6625075,-0.6119465,-0.57277817,-0.71359444,-0.7014901,-0.60721403,-0.6084904,-0.60585135,-0.6175307,-0.6884976,-0.6168892,-0.5886609,-0.69825757,-0.6724279,-0.60010767
28,-0.6827195,-0.5774132,-0.5413116,-0.5804491,-0.57437724,-0.5669999,-0.64347667,-0.71359444,-0.5450502,-0.6121644,-0.5643174,-0.5626284,-0.53911495,-0.61041737,-0.54204386,-0.65024203,-0.62359524,-0.6724279,-0.55705
29,-0.6827195,-0.5717081,-0.39893866,-0.5179607,-0.4362108,-0.59602773,-0.5690475,-0.71359444,-0.61669445,-0.5100894,-0.54151607,-0.59193736,-0.5790396,-0.38774928,-0.5796522,-0.5034543,-0.40266845,-0.6724279,-0.5743687
