time_index,normal_p05,normal_p50,normal_p95,normal_reference_00,normal_reference_01,normal_reference_02,normal_reference_03,normal_reference_04,normal_reference_05,normal_reference_06,normal_reference_07,normal_reference_08,normal_reference_09,normal_reference_10,normal_reference_11,normal_reference_12,normal_reference_13,normal_reference_14,normal_reference_15,normal_reference_16,normal_reference_17,normal_reference_18,normal_reference_19
0,11.55,24.0,59.0,34.0,14.0,39.0,26.0,26.0,34.0,34.0,14.0,36.0,33.0,23.0,20.0,35.0,14.0,27.0,17.0,26.0,64.0,30.0,30.0
1,3.0,12.0,36.44998,11.0,2.0,31.0,10.0,20.0,17.0,33.0,3.0,26.0,16.0,19.0,29.0,10.0,14.0,4.0,10.0,11.0,22.0,8.0,31.0
2,,,,15.0,2.0,2.0,2.0,26.0,21.0,6.0,2.0,25.0,23.0,22.0,25.0,11.0,3.0,2.0,9.0,6.0,26.0,1.0,44.0
3,,,,7.0,0.0,2.0,,19.0,17.0,14.0,1.0,18.0,24.0,19.0,9.0,13.0,4.0,2.0,6.0,4.0,22.0,4.0,18.0
4,,,,8.0,8.0,11.0,5.0,12.0,14.0,14.0,7.0,6.0,16.0,13.0,18.0,6.0,5.0,6.0,2.0,9.0,8.0,8.0,10.0
5,11.0,86.0,120.44998,137.0,97.0,125.0,104.0,18.0,12.0,118.0,91.0,18.0,16.0,13.0,10.0,22.0,96.0,86.0,91.0,109.0,18.0,96.0,26.0
6,18.0,530.0,662.35,672.0,577.0,761.0,605.0,39.0,20.0,529.0,620.0,68.0,66.0,15.0,16.0,25.0,583.0,615.0,625.0,689.0,25.0,529.0,108.0
7,41.0,1812.5,2100.9497,1859.0,1837.0,2148.0,2011.0,59.0,34.0,1690.0,2132.0,79.0,101.0,39.0,45.0,48.0,1800.0,2096.0,1980.0,2049.0,41.0,1861.0,105.0
8,71.1,3493.5,4010.1997,3255.0,3887.0,3387.0,3654.0,72.0,87.0,2864.0,3695.0,139.0,132.0,93.0,87.0,86.0,3645.0,3878.0,4149.0,3895.0,69.0,3439.0,126.0
9,101.55,1904.0,2242.5999,1702.0,2230.0,1877.0,1999.0,108.0,104.0,1662.0,2182.0,135.0,148.0,97.0,118.0,137.0,2232.0,1833.0,2217.0,2037.0,129.0,1635.0,165.0
10,105.0,678.0,821.44995,790.0,709.0,799.0,691.0,105.0,159.0,822.0,709.0,178.0,162.0,104.0,151.0,177.0,724.0,623.0,874.0,753.0,116.0,660.0,226.0
11,108.0,619.0,797.4998,755.0,632.0,704.0,692.0,130.0,211.0,755.0,621.0,170.0,190.0,83.0,135.0,161.0,579.0,679.0,682.0,791.0,101.0,690.0,243.0
12,112.55,1274.5,1565.1499,1245.0,1284.0,1405.0,1309.0,139.0,222.0,1158.0,1269.0,178.0,236.0,106.0,166.0,171.0,1231.0,1481.0,1358.0,1304.0,96.0,1499.0,185.0
13,111.0,1163.0,1443.2499,1193.0,1109.0,1158.0,1213.0,109.0,111.0,879.0,1173.0,185.0,250.0,140.0,185.0,150.0,1100.0,1246.0,1257.0,1288.0,98.0,1258.0,194.0
14,106.0,770.0,965.35,820.0,711.0,953.0,788.0,122.0,97.0,939.0,855.0,189.0,225.0,144.0,177.0,132.0,819.0,769.0,880.0,903.0,132.0,866.0,240.0
15,119.1,1077.5,1337.4998,1376.0,1195.0,1183.0,1240.0,120.0,179.0,1436.0,1300.0,140.0,176.0,126.0,161.0,118.0,1121.0,1040.0,1366.0,1283.0,136.0,1164.0,208.0
16,,,,2432.0,2523.0,2203.0,2560.0,123.0,226.0,1861.0,2548.0,186.0,270.0,134.0,149.0,200.0,2419.0,2495.0,2539.0,2335.0,143.0,2525.0,126.0
17,120.55,2967.5,3629.9,2928.0,3666.0,2496.0,3462.0,159.0,196.0,1470.0,3318.0,161.0,247.0,132.0,156.0,259.0,3626.0,3501.0,3442.0,3357.0,103.0,2430.0,164.0
18,144.1,1296.5,1588.35,1187.0,1475.0,1097.0,1381.0,176.0,249.0,642.0,1514.0,192.0,236.0,145.0,237.0,390.0,1505.0,1327.0,1496.0,1377.0,79.0,992.0,162.0
19,88.55,409.5,568.89996,465.0,440.0,461.0,516.0,116.0,158.0,309.0,496.0,98.0,134.0,96.0,100.0,368.0,461.0,418.0,491.0,470.0,65.0,369.0,121.0
20,69.65,188.0,285.44998,207.0,153.0,182.0,228.0,93.0,199.0,182.0,235.0,95.0,98.0,62.0,72.0,342.0,212.0,210.0,223.0,228.0,36.0,241.0,108.0
21,56.55,113.0,201.44998,171.0,89.0,152.0,140.0,99.0,105.0,182.0,119.0,68.0,82.0,47.0,90.0,386.0,119.0,104.0,124.0,131.0,31.0,109.0,95.0
22,39.55,91.5,209.44998,141.0,73.0,131.0,92.0,69.0,41.0,152.0,102.0,103.0,81.0,39.0,56.0,948.0,76.0,73.0,116.0,99.0,24.0,118.0,95.0
23,26.0,51.0,118.44998,71.0,32.0,70.0,41.0,72.0,33.0,121.0,54.0,78.0,58.0,30.0,69.0,138.0,49.0,37.0,53.0,55.0,15.0,87.0,81.0
