time_index,normal_p05,normal_p50,normal_p95,normal_reference_00,normal_reference_01,normal_reference_02,normal_reference_03,normal_reference_04,normal_reference_05,normal_reference_06,normal_reference_07,normal_reference_08,normal_reference_09,normal_reference_10,normal_reference_11,normal_reference_12,normal_reference_13,normal_reference_14,normal_reference_15,normal_reference_16,normal_reference_17,normal_reference_18,normal_reference_19
0,-1.0568622,-0.88384795,-0.6156999,-0.8243852,-1.1042565,-1.0616086,-0.7184303,-0.87955177,-0.80156666,-0.58861566,-0.7759757,-1.0360969,-1.0216174,-1.0556756,-0.8628795,-0.66813713,-0.592339,-0.9137657,-1.0326078,-0.76379913,-0.83151394,-0.8391907,-0.6099724
1,-0.99633646,-0.81563395,-0.5629795,-0.79429567,-0.95503825,-0.9640732,-0.6334591,-0.78744644,-0.7016331,-0.49681768,-0.71656424,-0.95257974,-0.93267155,-0.964368,-0.77592236,-0.6636037,-0.6828284,-0.84983563,-1.003066,-0.6948551,-0.8530563,-0.7996487,-0.60010046
2,-0.76805675,-0.5916977,-0.35523003,-0.5336615,-0.68065786,-0.6782708,-0.4313585,-0.54221183,-0.51987964,-0.31325412,-0.49685845,-0.70653486,-0.6944479,-0.73512113,-0.5696478,-0.8878987,-0.5862124,-0.5653774,-0.7886077,-0.49172848,-0.63185817,-0.5763983,-0.41150516
3,-0.52085984,-0.31334728,-0.102622174,-0.29795107,-0.30602032,-0.41988596,-0.14303175,-0.20186137,-0.23954798,-0.07036995,-0.197282,-0.41553673,-0.42869017,-0.4288068,-0.31293103,-0.9043592,-0.31750086,-0.35642642,-0.40514848,-0.21856442,-0.35502154,-0.2692669,-0.11068507
4,-0.26029664,-0.027507108,0.16019,0.024992442,0.069961525,-0.15185422,0.10074396,0.08983273,0.06670147,0.16335061,0.026110105,-0.09105186,-0.11076616,-0.14741282,-0.0016758711,-0.5645707,0.009719426,-0.044511072,-0.093068905,0.053384755,-0.045394387,0.084990814,0.10828015
5,-0.049913306,0.26196638,0.5016185,0.3571492,0.3930908,0.1884278,0.08249477,0.34987578,0.18047708,0.4164022,0.10149573,0.14963058,0.22038499,0.19400053,0.34942976,-0.20341052,0.27934992,0.3148908,0.22380127,0.38577384,0.2784437,0.22345276,0.35583287
6,0.22611597,0.5482914,0.7486898,0.6359436,0.76037,0.4600137,0.41720268,0.6545069,0.41800937,0.6410563,0.44235915,0.41946414,0.52555424,0.4693274,0.70229095,0.15434964,0.55964065,0.674139,0.5258206,0.68117005,0.5269087,0.4794388,0.5284548
7,0.50079906,0.8231212,0.99882376,0.87671334,0.9693746,0.80516994,0.7519106,0.87793565,0.768085,0.7483644,0.6651369,0.749996,0.8179687,0.80362064,0.9973952,0.47789347,0.83319217,0.9189995,0.91316557,0.97225344,0.84321445,0.8395306,0.83681595
8,0.7823173,1.0507476,1.2188792,1.0750382,1.1212815,1.0381174,1.0507476,1.0248812,1.035889,0.95161515,0.91986287,0.9157754,0.9544918,1.0582391,1.1724215,0.8441807,1.0183372,1.1656529,1.0646011,1.0754569,1.1139247,1.1471157,1.0784044
9,0.9453061,1.2201314,1.3902068,1.1813368,1.3087064,1.3522512,1.1712759,1.1058395,1.2169442,1.1103754,1.0850108,1.1067696,1.0334498,1.2683319,1.2428181,1.1133778,1.2317258,1.3238901,1.3505986,1.2595708,1.274965,1.3037281,1.3195815
10,1.0563866,1.3341357,1.4898452,1.2963161,1.3654503,1.4427799,1.3217664,1.2246326,1.3826787,1.3185804,1.1448524,1.3023278,1.3115574,1.3726763,1.393852,1.2449002,1.3187231,1.3789581,1.4826057,1.3356218,1.4591044,1.4034907,1.3561214
11,1.2491237,1.4187951,1.5460031,1.3789693,1.3991995,1.4615659,1.4984018,1.2142179,1.4540657,1.4625105,1.3693504,1.3335325,1.2871951,1.4550086,1.433761,1.4076705,1.3023652,1.400012,1.5376441,1.3489854,1.4481575,1.4443291,1.4312578
12,1.240051,1.4203094,1.5289994,1.382644,1.4170293,1.3669246,1.5116313,1.155635,1.4623218,1.4942431,1.4823982,1.3358715,1.3120298,1.4981804,1.3908676,1.5973175,1.2807384,1.3167185,1.4686598,1.3461304,1.4599078,1.4691564,1.3395311
13,1.0976073,1.3320905,1.5278362,1.2770376,1.2576934,1.2539035,1.5104285,1.050918,1.3486693,1.4218733,1.3587214,1.3338748,1.1080887,1.4286844,1.2842486,1.498932,1.1693572,1.2255361,1.3160532,1.323716,1.3657542,1.341131,1.2036546
14,0.92801946,1.1989295,1.4627749,1.1450163,1.1376255,0.9881058,1.4010379,0.7795652,1.2295129,1.3316296,1.2128654,1.1876056,1.0038912,1.2957593,1.1384813,1.5234879,1.029365,1.1234426,1.1254946,1.2149242,1.2524185,1.1729801,1.0373399
15,0.72218376,1.0424211,1.3100085,0.9872193,1.0607876,0.8048653,1.2731367,0.63742024,1.0506346,1.1293826,1.1037498,1.0131551,0.85724527,1.134404,0.9574862,1.3704859,0.8489987,0.9861568,0.8697842,1.0065129,1.0487957,0.9531653,0.8962533
16,0.4905317,0.85612494,1.1586089,0.8612159,0.8371371,0.5151534,1.0534667,0.1996757,0.94729185,1.0299106,0.8953487,0.7824559,0.72031724,0.8755235,0.728975,1.3583429,0.67708707,0.8114248,0.6599569,0.8834463,0.85104805,0.6733244,0.611955
17,0.2642406,0.626528,1.0005002,0.6287008,0.55242676,0.26829407,0.92279416,0.014081767,0.72117823,0.8062602,0.69898975,0.6472539,0.45584175,0.5705129,0.5260359,1.1424131,0.47558406,0.54950607,0.52800304,0.6534102,0.62563187,0.5828963,0.38366628
18,-0.03666197,0.40637687,0.8199054,0.37110224,0.30946067,-0.0075059934,0.7150985,-0.29046804,0.50184184,0.5600085,0.4685936,0.49391085,0.21795551,0.26289493,0.2145467,0.88287646,0.31059545,0.36381167,0.24307004,0.42562163,0.4271812,0.2991012,0.16771749
19,-0.33922592,0.17286745,0.5694918,0.08155016,0.11156433,-0.32529548,0.50060517,-0.63675815,0.27014214,0.28503555,0.24298967,0.18956365,-0.065415934,-0.03093416,-0.09624033,0.7211315,0.021176118,0.14118332,0.01631598,0.17286745,0.26317826,0.030085733,0.047197495
20,-0.6139924,-0.10206145,0.40439597,-0.20347518,-0.287766,-0.43760583,0.39351535,-0.7930606,0.24759237,0.016830035,0.13325967,-0.19561951,-0.41661027,-0.38874376,-0.40293112,0.5675359,-0.14681453,-0.22462182,-0.3174809,0.01499479,0.00080363214,-0.12769346,-0.06989474
21,-0.83997434,-0.39369878,0.08811672,-0.4536712,-0.6365787,-0.7000018,0.03705481,-0.91820025,-0.01922582,-0.25794867,-0.15144853,-0.5193057,-0.7563996,-0.6151326,-0.6474762,0.2239156,-0.40780655,-0.31969735,-0.60773677,-0.33713597,-0.3176614,-0.44584477,-0.41061395
22,-0.9457177,-0.6518629,-0.20484628,-0.4146879,-0.9498026,-0.92056054,-0.29686877,-0.85343355,-0.30054322,-0.46356317,-0.43462077,-0.79336077,-0.99685025,-0.79764754,-0.8429835,-0.084948674,-0.67749834,-0.5338222,-0.88340795,-0.5372254,-0.61096865,-0.7630885,-0.51139003
23,-1.0490073,-0.8270636,-0.382232,-0.59224296,-1.1076527,-0.97737575,-0.6289099,-0.6231702,-0.6011244,-0.5054956,-0.69186574,-1.004835,-1.0029914,-1.0666064,-0.9037248,-0.285983,-0.7647407,-0.79399925,-1.0088679,-0.76234126,-0.88634896,-0.93156356,-0.52914584
24,-1.0615345,-0.86917365,-0.44106475,-0.74183863,-1.0808372,-0.8674518,-0.77061564,-0.28875935,-0.80702955,-0.4430341,-0.8844155,-1.0038081,-0.82287276,-1.133395,-0.81384176,-0.617946,-0.63810444,-0.85521436,-0.9569167,-0.8164031,-0.91793436,-1.009027,-0.60359675
25,-0.9809912,-0.7712667,-0.25269878,-0.75057256,-0.89567643,-0.7522982,-0.8562143,0.06558591,-0.8414908,-0.25484017,-0.786236,-0.7665486,-0.6058395,-0.9305726,-0.57877654,-0.8303138,-0.46533507,-0.8252471,-0.65979433,-0.62542516,-0.8243332,-0.80930734,-0.50419176
26,-0.8104221,-0.5692237,-0.03790977,-0.61455715,-0.6191734,-0.48304784,-0.7334375,0.35809365,-0.73375314,-0.023774786,-0.5581131,-0.5158258,-0.34804505,-0.6952085,-0.32861373,-0.687512,-0.20446558,-0.5495998,-0.42718515,-0.3923519,-0.6356243,-0.4921284,-0.23586681
27,-0.6196146,-0.29391322,0.24902287,-0.32633644,-0.34217513,-0.15708385,-0.5119896,0.7348957,-0.476382,0.24151652,-0.30738065,-0.19927053,-0.040986195,-0.3687373,-0.021864446,-0.8023579,0.021421181,-0.32610062,-0.10451306,-0.09495116,-0.35241035,-0.20243438,0.08126941
28,-0.36572212,0.040302847,0.5896954,-0.0046178154,0.061117392,0.19578992,-0.23365022,1.0959129,-0.16138373,0.49346715,0.030902345,0.17376156,0.29239196,-0.028176378,0.3036105,-0.58761543,0.36579588,0.029356875,0.2270482,0.1895112,-0.03007874,0.10631759,0.38023853
29,-0.117295496,0.37670994,0.8784212,0.3370185,0.37985998,0.5335333,0.07831158,1.4574183,0.14260665,0.7544195,0.33404225,0.50298136,0.6333285,0.30511403,0.64084744,-0.3129135,0.7214435,0.36555335,0.5634533,0.52846056,0.30576077,0.425895,0.7105373
30,0.23323703,0.70596254,1.189238,0.6832348,0.7900156,0.888438,0.40894088,1.6242983,0.4796618,0.9987931,0.6939517,0.844067,0.97939396,0.6392067,0.97738224,0.020614587,1.0362267,0.5932019,0.8714875,0.82883775,0.6497854,0.7486487,1.0489258
31,0.5657077,1.0436553,1.5298762,0.9904146,1.138899,1.2281107,0.7556755,1.7303171,0.83236617,1.2718557,0.9927295,1.221834,1.3290361,0.97380084,1.2783383,0.33930123,1.4031473,0.7574838,1.1855366,1.175198,0.9839678,1.0773662,1.3436444
32,0.88361245,1.3436414,1.6054897,1.3401991,1.3387057,1.5679866,0.9630574,1.5535105,1.1766915,1.4298065,1.3080343,1.4742682,1.587168,1.308796,1.4795218,0.7061282,1.4525275,1.124672,1.3828552,1.405963,1.3345706,1.4102323,1.4244709
33,1.1404299,1.498102,1.6653482,1.5547136,1.6628255,1.6525747,1.2124281,1.3885834,1.486843,1.42482,1.6754394,1.5177952,1.61261,1.585226,1.4754841,0.9895191,1.382317,1.4447323,1.434487,1.5440938,1.4829566,1.542925,1.3478262
34,1.2532858,1.4733607,1.6689898,1.5196713,1.5627099,1.6099252,1.4624263,1.2387089,1.6448966,1.3555586,1.6718144,1.6192822,1.5784624,1.6336126,1.4280263,1.3488983,1.3545636,1.3113909,1.6156774,1.4113083,1.4857185,1.4862697,1.2190796
