agreement_count_distribution,alpha,available_sources,candidate_count,candidate_indices,combined_f1,combined_fn,combined_fp,combined_precision,combined_recall,combined_tp,crossfit_method,dataset_name,exp55_best_p_min,exp56_best_p_min,exp84_p_min,experiment_id,family,hard_count,hard_cross_check_indices,hard_f1,hard_fn,hard_fp,hard_indices,hard_precision,hard_recall,hard_tp,low_train_review_only,mean_combined_f1_scope,minimum_attainable_p,n_test,n_train,priority_review_count,priority_review_f1,priority_review_fn,priority_review_fp,priority_review_indices,priority_review_precision,priority_review_recall,priority_review_tp,priority_rule_indices,prospective_validated,resolution_limited_at_alpha,retrospective_counterfactual,rocket_exp40_p_min,routing_uses_family_performance,routing_uses_test_labels,routing_uses_test_positions,source_count,standard_review_count,standard_review_f1,standard_review_fn,standard_review_fp,standard_review_indices,standard_review_precision,standard_review_recall,standard_review_tp,variant
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,ACSF1_normal_0,0.058823529411764705,0.35294117647058826,0.058823529411764705,experiment_150_virtual_run_conformal_policy,ACSF1,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,ACSF1_normal_1,0.11764705882352941,0.17647058823529413,0.23529411764705882,experiment_150_virtual_run_conformal_policy,ACSF1,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,ACSF1_normal_2,0.11764705882352941,0.7058823529411765,0.058823529411764705,experiment_150_virtual_run_conformal_policy,ACSF1,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,ACSF1_normal_3,0.23529411764705882,0.11764705882352941,0.058823529411764705,experiment_150_virtual_run_conformal_policy,ACSF1,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,ACSF1_normal_4,0.058823529411764705,0.058823529411764705,0.058823529411764705,experiment_150_virtual_run_conformal_policy,ACSF1,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,ACSF1_normal_5,0.17647058823529413,0.6470588235294118,0.11764705882352941,experiment_150_virtual_run_conformal_policy,ACSF1,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.17647058823529413,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,ACSF1_normal_6,0.058823529411764705,0.058823529411764705,0.058823529411764705,experiment_150_virtual_run_conformal_policy,ACSF1,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,ACSF1_normal_7,0.058823529411764705,0.23529411764705882,0.058823529411764705,experiment_150_virtual_run_conformal_policy,ACSF1,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,ACSF1_normal_8,0.058823529411764705,0.5294117647058824,0.11764705882352941,experiment_150_virtual_run_conformal_policy,ACSF1,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.17647058823529413,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,ACSF1_normal_9,0.11764705882352941,0.058823529411764705,0.058823529411764705,experiment_150_virtual_run_conformal_policy,ACSF1,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
