dataset,alpha,exp149_candidates,exp150_candidates
ACSF1_normal_0,0.005,,
ACSF1_normal_0,0.01,,
ACSF1_normal_0,0.02,,
ACSF1_normal_0,0.05,,
ACSF1_normal_1,0.005,,
ACSF1_normal_1,0.01,,
ACSF1_normal_1,0.02,,
ACSF1_normal_1,0.05,,
ACSF1_normal_2,0.005,,
ACSF1_normal_2,0.01,,
ACSF1_normal_2,0.02,,
ACSF1_normal_2,0.05,,
ACSF1_normal_3,0.005,,
ACSF1_normal_3,0.01,,
ACSF1_normal_3,0.02,,
ACSF1_normal_3,0.05,,
ACSF1_normal_4,0.005,,
ACSF1_normal_4,0.01,,
ACSF1_normal_4,0.02,,
ACSF1_normal_4,0.05,,
ACSF1_normal_5,0.005,,
ACSF1_normal_5,0.01,,
ACSF1_normal_5,0.02,,
ACSF1_normal_5,0.05,,
ACSF1_normal_6,0.005,,
ACSF1_normal_6,0.01,,
ACSF1_normal_6,0.02,,
ACSF1_normal_6,0.05,,
ACSF1_normal_7,0.005,,
ACSF1_normal_7,0.01,,
ACSF1_normal_7,0.02,,
ACSF1_normal_7,0.05,,
ACSF1_normal_8,0.005,,
ACSF1_normal_8,0.01,,
ACSF1_normal_8,0.02,,
ACSF1_normal_8,0.05,,
ACSF1_normal_9,0.005,,
ACSF1_normal_9,0.01,,
ACSF1_normal_9,0.02,,
ACSF1_normal_9,0.05,,
Adiac_normal_1,0.005,,
Adiac_normal_1,0.01,,
Adiac_normal_1,0.02,,
Adiac_normal_1,0.05,,
Adiac_normal_10,0.005,,
Adiac_normal_10,0.01,,
Adiac_normal_10,0.02,,
Adiac_normal_10,0.05,,
Adiac_normal_11,0.005,,
Adiac_normal_11,0.01,,
Adiac_normal_11,0.02,,
Adiac_normal_11,0.05,,
Adiac_normal_12,0.005,,
Adiac_normal_12,0.01,,
Adiac_normal_12,0.02,,
Adiac_normal_12,0.05,49,49
Adiac_normal_13,0.005,,
Adiac_normal_13,0.01,,
Adiac_normal_13,0.02,,
Adiac_normal_13,0.05,,
Adiac_normal_14,0.005,,
Adiac_normal_14,0.01,,
Adiac_normal_14,0.02,,
Adiac_normal_14,0.05,,
Adiac_normal_15,0.005,,
Adiac_normal_15,0.01,,
Adiac_normal_15,0.02,,
Adiac_normal_15,0.05,,
Adiac_normal_16,0.005,,
Adiac_normal_16,0.01,,
Adiac_normal_16,0.02,,
Adiac_normal_16,0.05,,
Adiac_normal_17,0.005,,
Adiac_normal_17,0.01,,
Adiac_normal_17,0.02,,
Adiac_normal_17,0.05,,
Adiac_normal_18,0.005,,
Adiac_normal_18,0.01,,
Adiac_normal_18,0.02,,
Adiac_normal_18,0.05,,
Adiac_normal_19,0.005,,
Adiac_normal_19,0.01,,
Adiac_normal_19,0.02,,
Adiac_normal_19,0.05,,0 2
Adiac_normal_2,0.005,,
Adiac_normal_2,0.01,,
Adiac_normal_2,0.02,,
Adiac_normal_2,0.05,,
Adiac_normal_20,0.005,,
Adiac_normal_20,0.01,,
Adiac_normal_20,0.02,,
Adiac_normal_20,0.05,,
Adiac_normal_21,0.005,,
Adiac_normal_21,0.01,,
Adiac_normal_21,0.02,,
Adiac_normal_21,0.05,,
Adiac_normal_22,0.005,,
Adiac_normal_22,0.01,,
Adiac_normal_22,0.02,,
Adiac_normal_22,0.05,,
Adiac_normal_23,0.005,,
Adiac_normal_23,0.01,,
Adiac_normal_23,0.02,,
Adiac_normal_23,0.05,,
