dataset,train_instance_count,test_instance_count,train_label_values,test_label_values,values_dtype,labels_blob_presence,instance_level_binary_label_compatible,minimum_attainable_conformal_p,abstained_n_train_lt5,dataset_train_normal_count_metadata,dataset_test_total_count_metadata
ACSF1_normal_0,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
ACSF1_normal_1,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
ACSF1_normal_2,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
ACSF1_normal_3,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
ACSF1_normal_4,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
ACSF1_normal_5,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
ACSF1_normal_6,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
ACSF1_normal_7,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
ACSF1_normal_8,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
ACSF1_normal_9,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_1,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_10,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_11,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_12,20,50,0,0 1,float32,not_used_for_instance_policy,1,0.047619047619047616,0,20,50
Adiac_normal_13,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_14,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_15,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_16,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_17,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_18,17,50,0,0 1,float32,not_used_for_instance_policy,1,0.05555555555555555,0,17,50
Adiac_normal_19,20,50,0,0 1,float32,not_used_for_instance_policy,1,0.047619047619047616,0,20,50
Adiac_normal_2,18,50,0,0 1,float32,not_used_for_instance_policy,1,0.05263157894736842,0,18,50
Adiac_normal_20,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_21,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_22,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_23,16,50,0,0 1,float32,not_used_for_instance_policy,1,0.058823529411764705,0,16,50
Adiac_normal_24,18,50,0,0 1,float32,not_used_for_instance_policy,1,0.05263157894736842,0,18,50
Adiac_normal_25,23,50,0,0 1,float32,not_used_for_instance_policy,1,0.041666666666666664,0,23,50
